Kód kocky;Názov
as1001rs;"Obyvateľstvo a charakteristiky veku"
Posledná aktualizácia;19.12.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
as1001rs_rok;as1001rs_ukaz;as1001rs_poh
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2024;UKAZ01;TOTAL;5419451
2024;UKAZ01;SEX_M;2650949
2024;UKAZ01;SEX_F;2768502
2024;UKAZ02;TOTAL;856531
2024;UKAZ02;SEX_M;438294
2024;UKAZ02;SEX_F;418237
2024;UKAZ03;TOTAL;3544195
2024;UKAZ03;SEX_M;1797985
2024;UKAZ03;SEX_F;1746210
2024;UKAZ04;TOTAL;1018725
2024;UKAZ04;SEX_M;414670
2024;UKAZ04;SEX_F;604055
2024;UKAZ05;TOTAL;15.8
2024;UKAZ05;SEX_M;16.53
2024;UKAZ05;SEX_F;15.11
2024;UKAZ06;TOTAL;65.4
2024;UKAZ06;SEX_M;67.82
2024;UKAZ06;SEX_F;63.07
2024;UKAZ07;TOTAL;18.8
2024;UKAZ07;SEX_M;15.64
2024;UKAZ07;SEX_F;21.82
2024;UKAZ08;TOTAL;1177651
2024;UKAZ08;SEX_M;594999
2024;UKAZ08;SEX_F;582652
2024;UKAZ09;TOTAL;968270
2024;UKAZ09;SEX_M;441285
2024;UKAZ09;SEX_F;526985
2024;UKAZ10;TOTAL;364178
2024;UKAZ10;SEX_M;129215
2024;UKAZ10;SEX_F;234963
2024;UKAZ11;TOTAL;28011
2024;UKAZ11;SEX_M;8076
2024;UKAZ11;SEX_F;19935
2024;UKAZ12;TOTAL;21.73
2024;UKAZ12;SEX_M;22.44
2024;UKAZ12;SEX_F;21.05
2024;UKAZ13;TOTAL;17.87
2024;UKAZ13;SEX_M;16.65
2024;UKAZ13;SEX_F;19.04
2024;UKAZ14;TOTAL;6.72
2024;UKAZ14;SEX_M;4.87
2024;UKAZ14;SEX_F;8.49
2024;UKAZ15;TOTAL;0.52
2024;UKAZ15;SEX_M;0.3
2024;UKAZ15;SEX_F;0.72
2024;UKAZ16;TOTAL;42.21
2024;UKAZ16;SEX_M;40.65
2024;UKAZ16;SEX_F;43.71
2024;UKAZ17;TOTAL;43
2024;UKAZ17;SEX_M;41.6
2024;UKAZ17;SEX_F;44.5
2024;UKAZ18;TOTAL;118.94
2024;UKAZ18;SEX_M;94.61
2024;UKAZ18;SEX_F;144.43
2024;UKAZ19;TOTAL;52.91
2024;UKAZ19;SEX_M;47.44
2024;UKAZ19;SEX_F;58.54
2024;UKAZ20;TOTAL;28.74
2024;UKAZ20;SEX_M;23.06
2024;UKAZ20;SEX_F;34.59
2024;UKAZ21;TOTAL;
2024;UKAZ21;SEX_M;75.02
2024;UKAZ21;SEX_F;81.64
2024;UKAZ22;TOTAL;
2024;UKAZ22;SEX_M;60.65
2024;UKAZ22;SEX_F;67.16
2024;UKAZ23;TOTAL;
2024;UKAZ23;SEX_M;32.19
2024;UKAZ23;SEX_F;37.89
2024;UKAZ24;TOTAL;
2024;UKAZ24;SEX_M;19.63
2024;UKAZ24;SEX_F;24.15
2024;UKAZ25;TOTAL;
2024;UKAZ25;SEX_M;10
2024;UKAZ25;SEX_F;12.12
2023;UKAZ01;TOTAL;5424687
2023;UKAZ01;SEX_M;2653217
2023;UKAZ01;SEX_F;2771470
