Kód kocky;Názov
as1012rs;"Používanie počítačov a internetu jednotlivcami podľa vybraných vekových skupín"
Posledná aktualizácia;19.12.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
as1012rs_rok;as1012rs_ukaz;as1012rs_vek
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2024;UKAZ01;AGE_Y45-54;
2024;UKAZ01;AGE_Y55-64;
2024;UKAZ01;AGE_Y65-74;
2024;UKAZ01;AGE_Y_GE75;
2024;UKAZ01;AGE_Y55-74;
2024;UKAZ02;AGE_Y45-54;
2024;UKAZ02;AGE_Y55-64;
2024;UKAZ02;AGE_Y65-74;
2024;UKAZ02;AGE_Y_GE75;
2024;UKAZ02;AGE_Y55-74;
2024;UKAZ03;AGE_Y45-54;
2024;UKAZ03;AGE_Y55-64;
2024;UKAZ03;AGE_Y65-74;
2024;UKAZ03;AGE_Y_GE75;
2024;UKAZ03;AGE_Y55-74;
2024;UKAZ04;AGE_Y45-54;
2024;UKAZ04;AGE_Y55-64;
2024;UKAZ04;AGE_Y65-74;
2024;UKAZ04;AGE_Y_GE75;
2024;UKAZ04;AGE_Y55-74;
2024;UKAZ05;AGE_Y45-54;
2024;UKAZ05;AGE_Y55-64;
2024;UKAZ05;AGE_Y65-74;
2024;UKAZ05;AGE_Y_GE75;
2024;UKAZ05;AGE_Y55-74;
2024;UKAZ06;AGE_Y45-54;
2024;UKAZ06;AGE_Y55-64;
2024;UKAZ06;AGE_Y65-74;
2024;UKAZ06;AGE_Y_GE75;
2024;UKAZ06;AGE_Y55-74;
2024;UKAZ07;AGE_Y45-54;
2024;UKAZ07;AGE_Y55-64;
2024;UKAZ07;AGE_Y65-74;
2024;UKAZ07;AGE_Y_GE75;
2024;UKAZ07;AGE_Y55-74;
2024;UKAZ08;AGE_Y45-54;
2024;UKAZ08;AGE_Y55-64;
2024;UKAZ08;AGE_Y65-74;
2024;UKAZ08;AGE_Y_GE75;
2024;UKAZ08;AGE_Y55-74;
2024;UKAZ09;AGE_Y45-54;
2024;UKAZ09;AGE_Y55-64;
2024;UKAZ09;AGE_Y65-74;
2024;UKAZ09;AGE_Y_GE75;
2024;UKAZ09;AGE_Y55-74;
2024;UKAZ10;AGE_Y45-54;95
2024;UKAZ10;AGE_Y55-64;89
2024;UKAZ10;AGE_Y65-74;69
2024;UKAZ10;AGE_Y_GE75;
2024;UKAZ10;AGE_Y55-74;79
2024;UKAZ11;AGE_Y45-54;
2024;UKAZ11;AGE_Y55-64;
2024;UKAZ11;AGE_Y65-74;
2024;UKAZ11;AGE_Y_GE75;
2024;UKAZ11;AGE_Y55-74;80
2024;UKAZ12;AGE_Y45-54;
2024;UKAZ12;AGE_Y55-64;
2024;UKAZ12;AGE_Y65-74;
2024;UKAZ12;AGE_Y_GE75;
2024;UKAZ12;AGE_Y55-74;79
2024;UKAZ13;AGE_Y45-54;94
2024;UKAZ13;AGE_Y55-64;85
2024;UKAZ13;AGE_Y65-74;65
2024;UKAZ13;AGE_Y_GE75;
2024;UKAZ13;AGE_Y55-74;76
2024;UKAZ14;AGE_Y45-54;
2024;UKAZ14;AGE_Y55-64;
2024;UKAZ14;AGE_Y65-74;
2024;UKAZ14;AGE_Y_GE75;
2024;UKAZ14;AGE_Y55-74;78
2024;UKAZ15;AGE_Y45-54;
2024;UKAZ15;AGE_Y55-64;
2024;UKAZ15;AGE_Y65-74;
2024;UKAZ15;AGE_Y_GE75;
2024;UKAZ15;AGE_Y55-74;74
2024;UKAZ16;AGE_Y45-54;3
2024;UKAZ16;AGE_Y55-64;8
2024;UKAZ16;AGE_Y65-74;25
2024;UKAZ16;AGE_Y_GE75;
2024;UKAZ16;AGE_Y55-74;16
2024;UKAZ17;AGE_Y45-54;
2024;UKAZ17;AGE_Y55-64;
2024;UKAZ17;AGE_Y65-74;
2024;UKAZ17;AGE_Y_GE75;
2024;UKAZ17;AGE_Y55-74;16
2024;UKAZ18;AGE_Y45-54;
2024;UKAZ18;AGE_Y55-64;
2024;UKAZ18;AGE_Y65-74;
2024;UKAZ18;AGE_Y_GE75;
2024;UKAZ18;AGE_Y55-74;17
2023;UKAZ01;AGE_Y45-54;
2023;UKAZ01;AGE_Y55-64;
2023;UKAZ01;AGE_Y65-74;
2023;UKAZ01;AGE_Y_GE75;
2023;UKAZ01;AGE_Y55-74;
2023;UKAZ02;AGE_Y45-54;
2023;UKAZ02;AGE_Y55-64;
2023;UKAZ02;AGE_Y65-74;
2023;UKAZ02;AGE_Y_GE75;
2023;UKAZ02;AGE_Y55-74;
2023;UKAZ03;AGE_Y45-54;
2023;UKAZ03;AGE_Y55-64;
2023;UKAZ03;AGE_Y65-74;
2023;UKAZ03;AGE_Y_GE75;
2023;UKAZ03;AGE_Y55-74;
2023;UKAZ04;AGE_Y45-54;
2023;UKAZ04;AGE_Y55-64;
2023;UKAZ04;AGE_Y65-74;
2023;UKAZ04;AGE_Y_GE75;
2023;UKAZ04;AGE_Y55-74;
2023;UKAZ05;AGE_Y45-54;
2023;UKAZ05;AGE_Y55-64;
2023;UKAZ05;AGE_Y65-74;
2023;UKAZ05;AGE_Y_GE75;
2023;UKAZ05;AGE_Y55-74;
