Kód kocky;Názov
is1001rs;"Vybavenie domácností informačnými technológiami"
Posledná aktualizácia;20.12.2022

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
is1001rs_rok;is1001rs_ukaz;is1001rs_doma
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2022;UKAZ01;DOMA01;
2022;UKAZ01;DOMA02;
2022;UKAZ01;DOMA03;
2022;UKAZ01;DOMA04;
2022;UKAZ01;DOMA05;
2022;UKAZ01;DOMA06;
2022;UKAZ01;DOMA07;
2022;UKAZ02;DOMA01;90.7
2022;UKAZ02;DOMA02;95.7
2022;UKAZ02;DOMA03;88.7
2022;UKAZ02;DOMA04;92.1
2022;UKAZ02;DOMA05;87.9
2022;UKAZ02;DOMA06;92.2
2022;UKAZ02;DOMA07;86.4
2022;UKAZ03;DOMA01;
2022;UKAZ03;DOMA02;
2022;UKAZ03;DOMA03;
2022;UKAZ03;DOMA04;
2022;UKAZ03;DOMA05;
2022;UKAZ03;DOMA06;
2022;UKAZ03;DOMA07;
2022;UKAZ04;DOMA01;
2022;UKAZ04;DOMA02;
2022;UKAZ04;DOMA03;
2022;UKAZ04;DOMA04;
2022;UKAZ04;DOMA05;
2022;UKAZ04;DOMA06;
2022;UKAZ04;DOMA07;
2022;UKAZ05;DOMA01;
2022;UKAZ05;DOMA02;
2022;UKAZ05;DOMA03;
2022;UKAZ05;DOMA04;
2022;UKAZ05;DOMA05;
2022;UKAZ05;DOMA06;
2022;UKAZ05;DOMA07;
2022;UKAZ06;DOMA01;
2022;UKAZ06;DOMA02;
2022;UKAZ06;DOMA03;
2022;UKAZ06;DOMA04;
2022;UKAZ06;DOMA05;
2022;UKAZ06;DOMA06;
2022;UKAZ06;DOMA07;
2022;UKAZ07;DOMA01;
2022;UKAZ07;DOMA02;
2022;UKAZ07;DOMA03;
2022;UKAZ07;DOMA04;
2022;UKAZ07;DOMA05;
2022;UKAZ07;DOMA06;
2022;UKAZ07;DOMA07;
2022;UKAZ08;DOMA01;
2022;UKAZ08;DOMA02;
2022;UKAZ08;DOMA03;
2022;UKAZ08;DOMA04;
2022;UKAZ08;DOMA05;
2022;UKAZ08;DOMA06;
2022;UKAZ08;DOMA07;
2022;UKAZ09;DOMA01;
2022;UKAZ09;DOMA02;
2022;UKAZ09;DOMA03;
2022;UKAZ09;DOMA04;
2022;UKAZ09;DOMA05;
2022;UKAZ09;DOMA06;
2022;UKAZ09;DOMA07;
2022;UKAZ10;DOMA01;
2022;UKAZ10;DOMA02;
2022;UKAZ10;DOMA03;
2022;UKAZ10;DOMA04;
2022;UKAZ10;DOMA05;
2022;UKAZ10;DOMA06;
2022;UKAZ10;DOMA07;
2022;UKAZ11;DOMA01;
2022;UKAZ11;DOMA02;
2022;UKAZ11;DOMA03;
2022;UKAZ11;DOMA04;
2022;UKAZ11;DOMA05;
2022;UKAZ11;DOMA06;
2022;UKAZ11;DOMA07;
2021;UKAZ01;DOMA01;
2021;UKAZ01;DOMA02;
2021;UKAZ01;DOMA03;
2021;UKAZ01;DOMA04;
2021;UKAZ01;DOMA05;
2021;UKAZ01;DOMA06;
2021;UKAZ01;DOMA07;
2021;UKAZ02;DOMA01;90
2021;UKAZ02;DOMA02;77.2
2021;UKAZ02;DOMA03;94.4
2021;UKAZ02;DOMA04;85.6
2021;UKAZ02;DOMA05;97.1
2021;UKAZ02;DOMA06;96.4
2021;UKAZ02;DOMA07;97.7
2021;UKAZ03;DOMA01;
2021;UKAZ03;DOMA02;
2021;UKAZ03;DOMA03;
2021;UKAZ03;DOMA04;
2021;UKAZ03;DOMA05;
2021;UKAZ03;DOMA06;
2021;UKAZ03;DOMA07;
2021;UKAZ04;DOMA01;
2021;UKAZ04;DOMA02;
2021;UKAZ04;DOMA03;
2021;UKAZ04;DOMA04;
2021;UKAZ04;DOMA05;
2021;UKAZ04;DOMA06;
2021;UKAZ04;DOMA07;
2021;UKAZ05;DOMA01;90.4
2021;UKAZ05;DOMA02;81.8
2021;UKAZ05;DOMA03;89.1
2021;UKAZ05;DOMA04;90.3
2021;UKAZ05;DOMA05;93.1
2021;UKAZ05;DOMA06;93.3
2021;UKAZ05;DOMA07;93
2021;UKAZ06;DOMA01;
2021;UKAZ06;DOMA02;
2021;UKAZ06;DOMA03;
2021;UKAZ06;DOMA04;
2021;UKAZ06;DOMA05;
2021;UKAZ06;DOMA06;
2021;UKAZ06;DOMA07;
2021;UKAZ07;DOMA01;
2021;UKAZ07;DOMA02;
2021;UKAZ07;DOMA03;
2021;UKAZ07;DOMA04;
2021;UKAZ07;DOMA05;
2021;UKAZ07;DOMA06;
2021;UKAZ07;DOMA07;
2021;UKAZ08;DOMA01;
2021;UKAZ08;DOMA02;
2021;UKAZ08;DOMA03;
2021;UKAZ08;DOMA04;
2021;UKAZ08;DOMA05;
2021;UKAZ08;DOMA06;
2021;UKAZ08;DOMA07;
2021;UKAZ09;DOMA01;52.5
2021;UKAZ09;DOMA02;49.7
2021;UKAZ09;DOMA03;63.5
2021;UKAZ09;DOMA04;46.9
2021;UKAZ09;DOMA05;61.7
2021;UKAZ09;DOMA06;52.5
2021;UKAZ09;DOMA07;53.7
2021;UKAZ10;DOMA01;
2021;UKAZ10;DOMA02;
2021;UKAZ10;DOMA03;
2021;UKAZ10;DOMA04;
2021;UKAZ10;DOMA05;
2021;UKAZ10;DOMA06;
