Kód kocky;Názov
kz1001rs;"Medián ekvivalentného čistého príjmu"
Posledná aktualizácia;30.05.2025

Kód dimenzie;Kód dimenzie;Data
kz1001rs_rok;kz1001rs_veks
Kód Elementu;Kód Elementu;Hodnota
2024;VEKS01;10171
2024;VEKS02;9536
2024;VEKS03;8913
2024;VEKS04;10291
2024;VEKS05;10646
2024;VEKS06;10601
2023;VEKS01;9214
2023;VEKS02;8208
2023;VEKS03;8723
2023;VEKS04;9409
2023;VEKS05;10285
2023;VEKS06;9275
2022;VEKS01;8819
2022;VEKS02;7886
2022;VEKS03;8205
2022;VEKS04;9297
2022;VEKS05;9718
2022;VEKS06;8585
