Kód kocky;Názov
kz1008rs;"Schopnosť výjsť s peniazmi"
Posledná aktualizácia;30.05.2025

Kód dimenzie;Kód dimenzie;Data
kz1008rs_rok;kz1008rs_typd
Kód Elementu;Kód Elementu;Hodnota
2024;TYPD01;9.9
2024;TYPD02;17.9
2024;TYPD03;22.2
2024;TYPD04;8
2024;TYPD05;5.3
2024;TYPD06;4.2
2024;TYPD07;16.1
2024;TYPD08;8.8
2024;TYPD09;10.7
2023;TYPD01;10.4
2023;TYPD02;18.7
2023;TYPD03;33.2
2023;TYPD04;8.1
2023;TYPD05;4.9
2023;TYPD06;4.9
2023;TYPD07;19.9
2023;TYPD08;9.7
2023;TYPD09;11
2022;TYPD01;9.7
2022;TYPD02;16.1
2022;TYPD03;32.2
2022;TYPD04;8.4
2022;TYPD05;4.8
2022;TYPD06;7.3
2022;TYPD07;21.9
2022;TYPD08;8.4
2022;TYPD09;10.6
