Kód kocky;Názov
kz1018rs;"Miera ekonomickej aktivity"
Posledná aktualizácia;30.05.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
kz1018rs_rok;kz1018rs_pohl;kz1018rs_vek
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2024;POHL1;VEK01;76.6
2024;POHL1;VEK02;26.9
2024;POHL1;VEK03;90.2
2024;POHL1;VEK04;68.3
2024;POHL2;VEK01;80.4
2024;POHL2;VEK02;32.3
2024;POHL2;VEK03;93.8
2024;POHL2;VEK04;71.5
2024;POHL3;VEK01;72.7
2024;POHL3;VEK02;21.3
2024;POHL3;VEK03;86.5
2024;POHL3;VEK04;65.4
2023;POHL1;VEK01;76.5
2023;POHL1;VEK02;27
2023;POHL1;VEK03;89.7
2023;POHL1;VEK04;69.3
2023;POHL2;VEK01;80.2
2023;POHL2;VEK02;32.6
2023;POHL2;VEK03;92.9
2023;POHL2;VEK04;72.7
2023;POHL3;VEK01;72.8
2023;POHL3;VEK02;21.2
2023;POHL3;VEK03;86.4
2023;POHL3;VEK04;66.2
2022;POHL1;VEK01;76.1
2022;POHL1;VEK02;26.6
2022;POHL1;VEK03;89.8
2022;POHL1;VEK04;67.1
2022;POHL2;VEK01;79.8
2022;POHL2;VEK02;32.7
2022;POHL2;VEK03;93.3
2022;POHL2;VEK04;69.6
2022;POHL3;VEK01;72.2
2022;POHL3;VEK02;20.2
2022;POHL3;VEK03;86.3
2022;POHL3;VEK04;64.8
2021;POHL1;VEK01;74.6
2021;POHL1;VEK02;26.2
2021;POHL1;VEK03;88.8
2021;POHL1;VEK04;64.1
2021;POHL2;VEK01;78.6
2021;POHL2;VEK02;31.9
2021;POHL2;VEK03;92.4
2021;POHL2;VEK04;67.7
2021;POHL3;VEK01;70.6
2021;POHL3;VEK02;20.2
2021;POHL3;VEK03;85
2021;POHL3;VEK04;60.8
2020;POHL1;VEK01;72.4
2020;POHL1;VEK02;28.1
2020;POHL1;VEK03;85.9
2020;POHL1;VEK04;61.3
2020;POHL2;VEK01;78.3
2020;POHL2;VEK02;34.9
2020;POHL2;VEK03;92.3
2020;POHL2;VEK04;64.5
2020;POHL3;VEK01;66.4
2020;POHL3;VEK02;21
2020;POHL3;VEK03;79.3
2020;POHL3;VEK04;58.3
2019;POHL1;VEK01;72.7
2019;POHL1;VEK02;29.7
2019;POHL1;VEK03;86.5
2019;POHL1;VEK04;59.8
2019;POHL2;VEK01;78.8
2019;POHL2;VEK02;36.8
2019;POHL2;VEK03;93.2
2019;POHL2;VEK04;62.8
2019;POHL3;VEK01;66.4
2019;POHL3;VEK02;22.2
2019;POHL3;VEK03;79.6
2019;POHL3;VEK04;56.9
2018;POHL1;VEK01;72.4
2018;POHL1;VEK02;32.3
2018;POHL1;VEK03;86.5
2018;POHL1;VEK04;57.2
2018;POHL2;VEK01;78.7
2018;POHL2;VEK02;39.7
2018;POHL2;VEK03;93.2
2018;POHL2;VEK04;61.1
2018;POHL3;VEK01;65.9
2018;POHL3;VEK02;24.5
2018;POHL3;VEK03;79.7
2018;POHL3;VEK04;53.7
2017;POHL1;VEK01;72.1
2017;POHL1;VEK02;33.2
2017;POHL1;VEK03;86.6
2017;POHL1;VEK04;56.4
2017;POHL2;VEK01;78.2
2017;POHL2;VEK02;39.6
2017;POHL2;VEK03;93.1
2017;POHL2;VEK04;60
2017;POHL3;VEK01;65.9
2017;POHL3;VEK02;26.5
2017;POHL3;VEK03;79.8
2017;POHL3;VEK04;53
2016;POHL1;VEK01;71.9
2016;POHL1;VEK02;32.4
2016;POHL1;VEK03;87.6
2016;POHL1;VEK04;53.9
2016;POHL2;VEK01;78.3
2016;POHL2;VEK02;39.8
2016;POHL2;VEK03;93.5
2016;POHL2;VEK04;60.1
2016;POHL3;VEK01;65.4
2016;POHL3;VEK02;24.7
2016;POHL3;VEK03;81.5
2016;POHL3;VEK04;48.2
2015;POHL1;VEK01;70.9
2015;POHL1;VEK02;31.7
2015;POHL1;VEK03;87.3
2015;POHL1;VEK04;51.8
2015;POHL2;VEK01;77.5
2015;POHL2;VEK02;38.3
2015;POHL2;VEK03;93.6
2015;POHL2;VEK04;58.4
2015;POHL3;VEK01;64.3
2015;POHL3;VEK02;24.9
2015;POHL3;VEK03;80.8
2015;POHL3;VEK04;45.8
2014;POHL1;VEK01;70.3
2014;POHL1;VEK02;31
2014;POHL1;VEK03;87.3
2014;POHL1;VEK04;50.1
2014;POHL2;VEK01;77.6
2014;POHL2;VEK02;38
2014;POHL2;VEK03;94
2014;POHL2;VEK04;58.9
2014;POHL3;VEK01;62.9
2014;POHL3;VEK02;23.6
2014;POHL3;VEK03;80.4
2014;POHL3;VEK04;42.1
2013;POHL1;VEK01;69.9
2013;POHL1;VEK02;30.8
2013;POHL1;VEK03;87.2
2013;POHL1;VEK04;49.5
2013;POHL2;VEK01;77.2
2013;POHL2;VEK02;37.6
2013;POHL2;VEK03;93.6
2013;POHL2;VEK04;59.5
2013;POHL3;VEK01;62.5
2013;POHL3;VEK02;23.7
2013;POHL3;VEK03;80.5
2013;POHL3;VEK04;40.4
2012;POHL1;VEK01;69.4
2012;POHL1;VEK02;30.5
2012;POHL1;VEK03;87.1
2012;POHL1;VEK04;48.5
2012;POHL2;VEK01;77.1
2012;POHL2;VEK02;37.1
2012;POHL2;VEK03;93.8
2012;POHL2;VEK04;60.3
2012;POHL3;VEK01;61.7
2012;POHL3;VEK02;23.6
2012;POHL3;VEK03;80.4
2012;POHL3;VEK04;38
2011;POHL1;VEK01;68.7
2011;POHL1;VEK02;30.1
2011;POHL1;VEK03;87
2011;POHL1;VEK04;46
2011;POHL2;VEK01;76.6
2011;POHL2;VEK02;37.2
2011;POHL2;VEK03;93.5
2011;POHL2;VEK04;58.8
2011;POHL3;VEK01;60.8
2011;POHL3;VEK02;22.7
2011;POHL3;VEK03;80.4
2011;POHL3;VEK04;34.6
2010;POHL1;VEK01;68.7
2010;POHL1;VEK02;31.1
2010;POHL1;VEK03;86.9
2010;POHL1;VEK04;45.1
2010;POHL2;VEK01;76.1
2010;POHL2;VEK02;36.4
2010;POHL2;VEK03;92.9
2010;POHL2;VEK04;59.7
2010;POHL3;VEK01;61.3
2010;POHL3;VEK02;25.5
2010;POHL3;VEK03;80.9
2010;POHL3;VEK04;32.3
2009;POHL1;VEK01;68.4
2009;POHL1;VEK02;31.4
2009;POHL1;VEK03;87.2
