Kód kocky;Názov
kz1024rs;"Frekvencia stretnutí s príbuznými a priateľmi"
Posledná aktualizácia;14.12.2017

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
kz1024rs_rok;kz1024rs_frek;kz1024rs_ukaz
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2015;FREK01;UKAZ01;36.3
2015;FREK01;UKAZ02;30.3
2015;FREK01;UKAZ03;18.2
2015;FREK01;UKAZ04;10
2015;FREK01;UKAZ05;4.8
2015;FREK01;UKAZ06;0.4
2015;FREK02;UKAZ01;24.9
2015;FREK02;UKAZ02;32.9
2015;FREK02;UKAZ03;23
2015;FREK02;UKAZ04;11.7
2015;FREK02;UKAZ05;6.3
2015;FREK02;UKAZ06;1.3
2006;FREK01;UKAZ01;20.8
2006;FREK01;UKAZ02;35.5
2006;FREK01;UKAZ03;21.8
2006;FREK01;UKAZ04;13.4
2006;FREK01;UKAZ05;7.9
2006;FREK01;UKAZ06;0.4
2006;FREK02;UKAZ01;24.4
2006;FREK02;UKAZ02;29.6
2006;FREK02;UKAZ03;21.4
2006;FREK02;UKAZ04;13.6
2006;FREK02;UKAZ05;8.6
2006;FREK02;UKAZ06;1.3
