Kód kocky;Názov
kz1028rs;"Celková spokojnosť so životom"
Posledná aktualizácia;30.05.2025

Kód dimenzie;Kód dimenzie;Data
kz1028rs_rok;kz1028rs_ukaz
Kód Elementu;Kód Elementu;Hodnota
2024;UKAZ01;7.3
2024;UKAZ02;7.3
2024;UKAZ03;7.3
2024;UKAZ04;8.2
2024;UKAZ05;7.8
2024;UKAZ06;7.5
2024;UKAZ07;7
2024;UKAZ08;6.8
2024;UKAZ09;6.4
2023;UKAZ01;7.3
2023;UKAZ02;7.3
2023;UKAZ03;7.2
2023;UKAZ04;8.1
2023;UKAZ05;7.7
2023;UKAZ06;7.5
2023;UKAZ07;7.1
2023;UKAZ08;6.8
2023;UKAZ09;6.2
2021;UKAZ01;7.1
2021;UKAZ02;7.1
2021;UKAZ03;7.1
2021;UKAZ04;8.1
2021;UKAZ05;7.5
2021;UKAZ06;7.3
2021;UKAZ07;6.7
2021;UKAZ08;6.8
2021;UKAZ09;6.3
2018;UKAZ01;7.1
2018;UKAZ02;7.1
2018;UKAZ03;7.1
2018;UKAZ04;7
2018;UKAZ05;7.3
2018;UKAZ06;7.3
2018;UKAZ07;7
2018;UKAZ08;6.7
2018;UKAZ09;6.7
2013;UKAZ01;7
2013;UKAZ02;7
2013;UKAZ03;6.9
2013;UKAZ04;7.6
2013;UKAZ05;7.4
2013;UKAZ06;6.9
2013;UKAZ07;6.6
2013;UKAZ08;6.7
2013;UKAZ09;6.1
