Kód kocky;Názov
kz1030rs;"Stupeň dosiahnutého vzdelania (ISCED 2011)"
Posledná aktualizácia;30.05.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
kz1030rs_rok;kz1030rs_vzd;kz1030rs_pohl
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2024;VZD01;POHL1;12.7
2024;VZD01;POHL2;12.5
2024;VZD01;POHL3;13
2024;VZD02;POHL1;61.5
2024;VZD02;POHL2;66.2
2024;VZD02;POHL3;56.8
2024;VZD03;POHL1;25.7
2024;VZD03;POHL2;21.3
2024;VZD03;POHL3;30.3
2023;VZD01;POHL1;12.8
2023;VZD01;POHL2;12.4
2023;VZD01;POHL3;13.1
2023;VZD02;POHL1;61.5
2023;VZD02;POHL2;65.9
2023;VZD02;POHL3;56.9
2023;VZD03;POHL1;25.8
2023;VZD03;POHL2;21.6
2023;VZD03;POHL3;30
2022;VZD01;POHL1;12.8
2022;VZD01;POHL2;12.3
2022;VZD01;POHL3;13.3
2022;VZD02;POHL1;61.2
2022;VZD02;POHL2;66.6
2022;VZD02;POHL3;55.7
2022;VZD03;POHL1;26
2022;VZD03;POHL2;21.1
2022;VZD03;POHL3;31
2021;VZD01;POHL1;13.2
2021;VZD01;POHL2;12.7
2021;VZD01;POHL3;13.7
2021;VZD02;POHL1;62.1
2021;VZD02;POHL2;67.6
2021;VZD02;POHL3;56.5
2021;VZD03;POHL1;24.7
2021;VZD03;POHL2;19.8
2021;VZD03;POHL3;29.8
2020;VZD01;POHL1;13.5
2020;VZD01;POHL2;13
2020;VZD01;POHL3;13.9
2020;VZD02;POHL1;62.5
2020;VZD02;POHL2;67.5
2020;VZD02;POHL3;57.7
2020;VZD03;POHL1;23.9
2020;VZD03;POHL2;19.5
2020;VZD03;POHL3;28.4
2019;VZD01;POHL1;14.5
2019;VZD01;POHL2;14
2019;VZD01;POHL3;15
2019;VZD02;POHL1;62.3
2019;VZD02;POHL2;66.7
2019;VZD02;POHL3;57.9
2019;VZD03;POHL1;23.1
2019;VZD03;POHL2;19.3
2019;VZD03;POHL3;27
2018;VZD01;POHL1;14.4
2018;VZD01;POHL2;13.7
2018;VZD01;POHL3;15.2
2018;VZD02;POHL1;63.6
2018;VZD02;POHL2;67.7
2018;VZD02;POHL3;59.9
2018;VZD03;POHL1;22
2018;VZD03;POHL2;18.7
2018;VZD03;POHL3;25.5
2017;VZD01;POHL1;14.8
2017;VZD01;POHL2;13.8
2017;VZD01;POHL3;15.7
2017;VZD02;POHL1;64.5
2017;VZD02;POHL2;68.6
2017;VZD02;POHL3;60.4
2017;VZD03;POHL1;20.7
2017;VZD03;POHL2;17.6
2017;VZD03;POHL3;23.9
2016;VZD01;POHL1;14.3
2016;VZD01;POHL2;13.4
2016;VZD01;POHL3;15.1
2016;VZD02;POHL1;66
2016;VZD02;POHL2;69.8
2016;VZD02;POHL3;62.2
2016;VZD03;POHL1;19.7
2016;VZD03;POHL2;16.8
2016;VZD03;POHL3;22.7
2015;VZD01;POHL1;14.6
2015;VZD01;POHL2;13.6
2015;VZD01;POHL3;15.6
2015;VZD02;POHL1;66.5
2015;VZD02;POHL2;70.2
2015;VZD02;POHL3;62.9
2015;VZD03;POHL1;18.9
2015;VZD03;POHL2;16.3
2015;VZD03;POHL3;21.5
2014;VZD01;POHL1;15.2
2014;VZD01;POHL2;14.1
2014;VZD01;POHL3;16.3
2014;VZD02;POHL1;66.7
2014;VZD02;POHL2;69.9
2014;VZD02;POHL3;63.4
2014;VZD03;POHL1;18.1
2014;VZD03;POHL2;16
2014;VZD03;POHL3;20.3
2013;VZD01;POHL1;14.7
2013;VZD01;POHL2;13.5
2013;VZD01;POHL3;16
2013;VZD02;POHL1;67.5
2013;VZD02;POHL2;70.9
2013;VZD02;POHL3;64.2
2013;VZD03;POHL1;17.7
2013;VZD03;POHL2;15.6
2013;VZD03;POHL3;19.9
2012;VZD01;POHL1;15
2012;VZD01;POHL2;13.8
2012;VZD01;POHL3;16.2
2012;VZD02;POHL1;68
2012;VZD02;POHL2;71.5
2012;VZD02;POHL3;64.6
2012;VZD03;POHL1;17
2012;VZD03;POHL2;14.7
2012;VZD03;POHL3;19.3
2011;VZD01;POHL1;15.7
2011;VZD01;POHL2;14.2
2011;VZD01;POHL3;17.1
2011;VZD02;POHL1;68
2011;VZD02;POHL2;71.3
2011;VZD02;POHL3;64.6
2011;VZD03;POHL1;16.4
2011;VZD03;POHL2;14.5
2011;VZD03;POHL3;18.3
2010;VZD01;POHL1;16.3
2010;VZD01;POHL2;15
2010;VZD01;POHL3;17.5
2010;VZD02;POHL1;68.7
2010;VZD02;POHL2;71.6
2010;VZD02;POHL3;65.8
2010;VZD03;POHL1;15.1
2010;VZD03;POHL2;13.4
2010;VZD03;POHL3;16.7
2009;VZD01;POHL1;16.5
2009;VZD01;POHL2;15
2009;VZD01;POHL3;18
2009;VZD02;POHL1;70.1
2009;VZD02;POHL2;72.6
2009;VZD02;POHL3;67.6
2009;VZD03;POHL1;13.4
2009;VZD03;POHL2;12.5
2009;VZD03;POHL3;14.4
2008;VZD01;POHL1;17.6
2008;VZD01;POHL2;15.8
2008;VZD01;POHL3;19.4
2008;VZD02;POHL1;70.1
2008;VZD02;POHL2;72.3
2008;VZD02;POHL3;67.8
2008;VZD03;POHL1;12.3
2008;VZD03;POHL2;11.9
2008;VZD03;POHL3;12.8
2007;VZD01;POHL1;18.4
2007;VZD01;POHL2;16.7
2007;VZD01;POHL3;20.1
