Kód kocky;Názov
np3101rr;"Hrubá mzda podľa veku"
Posledná aktualizácia;14.07.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
nuts13;np3101rr_rok;np3101rr_ukaz;np3101rr_dim1
Kód Elementu;Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
SK0;2024;E_PRIEM_HR_MZDA;1;1748
SK0;2024;E_PRIEM_HR_MZDA;2;1091
SK0;2024;E_PRIEM_HR_MZDA;3;1297
SK0;2024;E_PRIEM_HR_MZDA;4;1576
SK0;2024;E_PRIEM_HR_MZDA;5;1766
SK0;2024;E_PRIEM_HR_MZDA;6;1831
SK0;2024;E_PRIEM_HR_MZDA;7;1877
SK0;2024;E_PRIEM_HR_MZDA;8;1859
SK0;2024;E_PRIEM_HR_MZDA;9;1757
SK0;2024;E_PRIEM_HR_MZDA;10;1658
SK0;2024;E_PRIEM_HR_MZDA;11;1650
SK0;2023;E_PRIEM_HR_MZDA;1;1628
SK0;2023;E_PRIEM_HR_MZDA;2;1020
SK0;2023;E_PRIEM_HR_MZDA;3;1196
SK0;2023;E_PRIEM_HR_MZDA;4;1486
SK0;2023;E_PRIEM_HR_MZDA;5;1660
SK0;2023;E_PRIEM_HR_MZDA;6;1725
SK0;2023;E_PRIEM_HR_MZDA;7;1767
SK0;2023;E_PRIEM_HR_MZDA;8;1726
SK0;2023;E_PRIEM_HR_MZDA;9;1633
SK0;2023;E_PRIEM_HR_MZDA;10;1523
SK0;2023;E_PRIEM_HR_MZDA;11;1518
SK0;2022;E_PRIEM_HR_MZDA;1;1501
SK0;2022;E_PRIEM_HR_MZDA;2;920
SK0;2022;E_PRIEM_HR_MZDA;3;1103
SK0;2022;E_PRIEM_HR_MZDA;4;1370
SK0;2022;E_PRIEM_HR_MZDA;5;1532
SK0;2022;E_PRIEM_HR_MZDA;6;1615
SK0;2022;E_PRIEM_HR_MZDA;7;1634
SK0;2022;E_PRIEM_HR_MZDA;8;1587
SK0;2022;E_PRIEM_HR_MZDA;9;1502
SK0;2022;E_PRIEM_HR_MZDA;10;1393
SK0;2022;E_PRIEM_HR_MZDA;11;1396
SK0;2021;E_PRIEM_HR_MZDA;1;1405
SK0;2021;E_PRIEM_HR_MZDA;2;852
SK0;2021;E_PRIEM_HR_MZDA;3;1025
SK0;2021;E_PRIEM_HR_MZDA;4;1280
SK0;2021;E_PRIEM_HR_MZDA;5;1431
SK0;2021;E_PRIEM_HR_MZDA;6;1514
SK0;2021;E_PRIEM_HR_MZDA;7;1534
