Kód kocky;Názov
np3102rr;"Hrubá mzda podľa vzdelania"
Posledná aktualizácia;14.07.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
nuts13;np3102rr_rok;np3102rr_ukaz;np3102rr_dim1
Kód Elementu;Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
SK0;2024;E_PRIEM_HR_MZDA;1;1748
SK0;2024;E_PRIEM_HR_MZDA;2;
SK0;2024;E_PRIEM_HR_MZDA;3;1235
SK0;2024;E_PRIEM_HR_MZDA;4;
SK0;2024;E_PRIEM_HR_MZDA;5;
SK0;2024;E_PRIEM_HR_MZDA;13;1370
SK0;2024;E_PRIEM_HR_MZDA;6;1587
SK0;2024;E_PRIEM_HR_MZDA;7;1569
SK0;2024;E_PRIEM_HR_MZDA;8;1667
SK0;2024;E_PRIEM_HR_MZDA;9;1831
SK0;2024;E_PRIEM_HR_MZDA;10;1899
SK0;2024;E_PRIEM_HR_MZDA;11;2371
SK0;2024;E_PRIEM_HR_MZDA;12;2418
SK0;2023;E_PRIEM_HR_MZDA;1;1628
SK0;2023;E_PRIEM_HR_MZDA;2;
SK0;2023;E_PRIEM_HR_MZDA;3;1159
SK0;2023;E_PRIEM_HR_MZDA;4;
SK0;2023;E_PRIEM_HR_MZDA;5;
SK0;2023;E_PRIEM_HR_MZDA;13;1280
SK0;2023;E_PRIEM_HR_MZDA;6;1470
SK0;2023;E_PRIEM_HR_MZDA;7;1464
SK0;2023;E_PRIEM_HR_MZDA;8;1552
SK0;2023;E_PRIEM_HR_MZDA;9;1748
SK0;2023;E_PRIEM_HR_MZDA;10;1760
SK0;2023;E_PRIEM_HR_MZDA;11;2210
SK0;2023;E_PRIEM_HR_MZDA;12;2296
SK0;2022;E_PRIEM_HR_MZDA;1;1501
SK0;2022;E_PRIEM_HR_MZDA;2;
SK0;2022;E_PRIEM_HR_MZDA;3;1082
SK0;2022;E_PRIEM_HR_MZDA;4;
SK0;2022;E_PRIEM_HR_MZDA;5;
SK0;2022;E_PRIEM_HR_MZDA;13;1199
SK0;2022;E_PRIEM_HR_MZDA;6;1382
SK0;2022;E_PRIEM_HR_MZDA;7;1354
SK0;2022;E_PRIEM_HR_MZDA;8;1422
SK0;2022;E_PRIEM_HR_MZDA;9;1569
SK0;2022;E_PRIEM_HR_MZDA;10;1622
SK0;2022;E_PRIEM_HR_MZDA;11;2017
SK0;2022;E_PRIEM_HR_MZDA;12;2062
SK0;2021;E_PRIEM_HR_MZDA;1;1405
SK0;2021;E_PRIEM_HR_MZDA;2;
SK0;2021;E_PRIEM_HR_MZDA;3;975
SK0;2021;E_PRIEM_HR_MZDA;4;
SK0;2021;E_PRIEM_HR_MZDA;5;
SK0;2021;E_PRIEM_HR_MZDA;13;1112
SK0;2021;E_PRIEM_HR_MZDA;6;1288
SK0;2021;E_PRIEM_HR_MZDA;7;1258
SK0;2021;E_PRIEM_HR_MZDA;8;1332
SK0;2021;E_PRIEM_HR_MZDA;9;1483
SK0;2021;E_PRIEM_HR_MZDA;10;1537
SK0;2021;E_PRIEM_HR_MZDA;11;1912
SK0;2021;E_PRIEM_HR_MZDA;12;1980
SK0;2020;E_PRIEM_HR_MZDA;1;1333
SK0;2020;E_PRIEM_HR_MZDA;2;
SK0;2020;E_PRIEM_HR_MZDA;3;933
SK0;2020;E_PRIEM_HR_MZDA;4;
SK0;2020;E_PRIEM_HR_MZDA;5;
SK0;2020;E_PRIEM_HR_MZDA;13;1052
SK0;2020;E_PRIEM_HR_MZDA;6;1235
SK0;2020;E_PRIEM_HR_MZDA;7;1196
SK0;2020;E_PRIEM_HR_MZDA;8;1249
SK0;2020;E_PRIEM_HR_MZDA;9;1386
SK0;2020;E_PRIEM_HR_MZDA;10;1458
SK0;2020;E_PRIEM_HR_MZDA;11;1838
SK0;2020;E_PRIEM_HR_MZDA;12;1906
SK0;2019;E_PRIEM_HR_MZDA;1;1262
SK0;2019;E_PRIEM_HR_MZDA;2;
SK0;2019;E_PRIEM_HR_MZDA;3;853
SK0;2019;E_PRIEM_HR_MZDA;4;
SK0;2019;E_PRIEM_HR_MZDA;5;
SK0;2019;E_PRIEM_HR_MZDA;13;1003
SK0;2019;E_PRIEM_HR_MZDA;6;1183
SK0;2019;E_PRIEM_HR_MZDA;7;1154
SK0;2019;E_PRIEM_HR_MZDA;8;1193
SK0;2019;E_PRIEM_HR_MZDA;9;1290
SK0;2019;E_PRIEM_HR_MZDA;10;1348
SK0;2019;E_PRIEM_HR_MZDA;11;1749
SK0;2019;E_PRIEM_HR_MZDA;12;1808
SK0;2018;E_PRIEM_HR_MZDA;1;1175
SK0;2018;E_PRIEM_HR_MZDA;2;
SK0;2018;E_PRIEM_HR_MZDA;3;790
SK0;2018;E_PRIEM_HR_MZDA;4;
SK0;2018;E_PRIEM_HR_MZDA;5;
SK0;2018;E_PRIEM_HR_MZDA;13;930
SK0;2018;E_PRIEM_HR_MZDA;6;1096
SK0;2018;E_PRIEM_HR_MZDA;7;1087
SK0;2018;E_PRIEM_HR_MZDA;8;1112
SK0;2018;E_PRIEM_HR_MZDA;9;1171
SK0;2018;E_PRIEM_HR_MZDA;10;1255
SK0;2018;E_PRIEM_HR_MZDA;11;1641
SK0;2018;E_PRIEM_HR_MZDA;12;1690
SK0;2017;E_PRIEM_HR_MZDA;1;1101
SK0;2017;E_PRIEM_HR_MZDA;2;
SK0;2017;E_PRIEM_HR_MZDA;3;717
SK0;2017;E_PRIEM_HR_MZDA;4;
SK0;2017;E_PRIEM_HR_MZDA;5;
SK0;2017;E_PRIEM_HR_MZDA;13;855
SK0;2017;E_PRIEM_HR_MZDA;6;1015
SK0;2017;E_PRIEM_HR_MZDA;7;1010
SK0;2017;E_PRIEM_HR_MZDA;8;1036
SK0;2017;E_PRIEM_HR_MZDA;9;1090
SK0;2017;E_PRIEM_HR_MZDA;10;1164
SK0;2017;E_PRIEM_HR_MZDA;11;1563
SK0;2017;E_PRIEM_HR_MZDA;12;1609
SK0;2016;E_PRIEM_HR_MZDA;1;1044
SK0;2016;E_PRIEM_HR_MZDA;2;
SK0;2016;E_PRIEM_HR_MZDA;3;670
SK0;2016;E_PRIEM_HR_MZDA;4;
SK0;2016;E_PRIEM_HR_MZDA;5;
SK0;2016;E_PRIEM_HR_MZDA;13;797
SK0;2016;E_PRIEM_HR_MZDA;6;949
SK0;2016;E_PRIEM_HR_MZDA;7;951
SK0;2016;E_PRIEM_HR_MZDA;8;986
SK0;2016;E_PRIEM_HR_MZDA;9;1045
SK0;2016;E_PRIEM_HR_MZDA;10;1120
SK0;2016;E_PRIEM_HR_MZDA;11;1504
SK0;2016;E_PRIEM_HR_MZDA;12;1540
SK0;2015;E_PRIEM_HR_MZDA;1;997
SK0;2015;E_PRIEM_HR_MZDA;2;
SK0;2015;E_PRIEM_HR_MZDA;3;637
SK0;2015;E_PRIEM_HR_MZDA;4;
SK0;2015;E_PRIEM_HR_MZDA;5;
SK0;2015;E_PRIEM_HR_MZDA;13;752
SK0;2015;E_PRIEM_HR_MZDA;6;906
SK0;2015;E_PRIEM_HR_MZDA;7;900
SK0;2015;E_PRIEM_HR_MZDA;8;939
SK0;2015;E_PRIEM_HR_MZDA;9;1005
SK0;2015;E_PRIEM_HR_MZDA;10;1058
SK0;2015;E_PRIEM_HR_MZDA;11;1448
SK0;2015;E_PRIEM_HR_MZDA;12;1444
SK0;2014;E_PRIEM_HR_MZDA;1;964
SK0;2014;E_PRIEM_HR_MZDA;2;
SK0;2014;E_PRIEM_HR_MZDA;3;607
SK0;2014;E_PRIEM_HR_MZDA;4;
SK0;2014;E_PRIEM_HR_MZDA;5;
SK0;2014;E_PRIEM_HR_MZDA;13;726
SK0;2014;E_PRIEM_HR_MZDA;6;876
SK0;2014;E_PRIEM_HR_MZDA;7;889
SK0;2014;E_PRIEM_HR_MZDA;8;909
SK0;2014;E_PRIEM_HR_MZDA;9;969
SK0;2014;E_PRIEM_HR_MZDA;10;1021
SK0;2014;E_PRIEM_HR_MZDA;11;1397
SK0;2014;E_PRIEM_HR_MZDA;12;1390
SK0;2013;E_PRIEM_HR_MZDA;1;912
SK0;2013;E_PRIEM_HR_MZDA;2;
SK0;2013;E_PRIEM_HR_MZDA;3;587
SK0;2013;E_PRIEM_HR_MZDA;4;695
SK0;2013;E_PRIEM_HR_MZDA;5;679
SK0;2013;E_PRIEM_HR_MZDA;13;
SK0;2013;E_PRIEM_HR_MZDA;6;830
SK0;2013;E_PRIEM_HR_MZDA;7;856
SK0;2013;E_PRIEM_HR_MZDA;8;865
SK0;2013;E_PRIEM_HR_MZDA;9;938
SK0;2013;E_PRIEM_HR_MZDA;10;969
SK0;2013;E_PRIEM_HR_MZDA;11;1331
SK0;2013;E_PRIEM_HR_MZDA;12;1355
SK0;2012;E_PRIEM_HR_MZDA;1;888
SK0;2012;E_PRIEM_HR_MZDA;2;
SK0;2012;E_PRIEM_HR_MZDA;3;559
SK0;2012;E_PRIEM_HR_MZDA;4;677
SK0;2012;E_PRIEM_HR_MZDA;5;654
SK0;2012;E_PRIEM_HR_MZDA;13;
SK0;2012;E_PRIEM_HR_MZDA;6;815
SK0;2012;E_PRIEM_HR_MZDA;7;841
SK0;2012;E_PRIEM_HR_MZDA;8;841
SK0;2012;E_PRIEM_HR_MZDA;9;921
SK0;2012;E_PRIEM_HR_MZDA;10;951
SK0;2012;E_PRIEM_HR_MZDA;11;1299
SK0;2012;E_PRIEM_HR_MZDA;12;1331
