Kód kocky;Názov
np3106rr;"Hrubá mzda podľa zamestnania"
Posledná aktualizácia;14.07.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
nuts13;np3106rr_rok;np3106rr_ukaz;np3106rr_dim1
Kód Elementu;Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
SK0;2024;E_PRIEM_HR_MZDA;10;1748
SK0;2024;E_PRIEM_HR_MZDA;1;3303
SK0;2024;E_PRIEM_HR_MZDA;2;2220
SK0;2024;E_PRIEM_HR_MZDA;3;1886
SK0;2024;E_PRIEM_HR_MZDA;4;1389
SK0;2024;E_PRIEM_HR_MZDA;5;1247
SK0;2024;E_PRIEM_HR_MZDA;6;1332
SK0;2024;E_PRIEM_HR_MZDA;7;1599
SK0;2024;E_PRIEM_HR_MZDA;8;1500
SK0;2024;E_PRIEM_HR_MZDA;9;1009
SK0;2024;E_PRIEM_HR_MZDA;0;2517
SK0;2023;E_PRIEM_HR_MZDA;10;1628
SK0;2023;E_PRIEM_HR_MZDA;1;3054
SK0;2023;E_PRIEM_HR_MZDA;2;2069
SK0;2023;E_PRIEM_HR_MZDA;3;1766
SK0;2023;E_PRIEM_HR_MZDA;4;1295
SK0;2023;E_PRIEM_HR_MZDA;5;1180
SK0;2023;E_PRIEM_HR_MZDA;6;1225
SK0;2023;E_PRIEM_HR_MZDA;7;1477
SK0;2023;E_PRIEM_HR_MZDA;8;1397
SK0;2023;E_PRIEM_HR_MZDA;9;949
SK0;2023;E_PRIEM_HR_MZDA;0;2306
SK0;2022;E_PRIEM_HR_MZDA;10;1501
SK0;2022;E_PRIEM_HR_MZDA;1;2795
SK0;2022;E_PRIEM_HR_MZDA;2;1844
SK0;2022;E_PRIEM_HR_MZDA;3;1625
SK0;2022;E_PRIEM_HR_MZDA;4;1228
SK0;2022;E_PRIEM_HR_MZDA;5;1173
SK0;2022;E_PRIEM_HR_MZDA;6;1166
SK0;2022;E_PRIEM_HR_MZDA;7;1378
SK0;2022;E_PRIEM_HR_MZDA;8;1304
SK0;2022;E_PRIEM_HR_MZDA;9;902
SK0;2022;E_PRIEM_HR_MZDA;0;2023
SK0;2021;E_PRIEM_HR_MZDA;10;1405
SK0;2021;E_PRIEM_HR_MZDA;1;2651
SK0;2021;E_PRIEM_HR_MZDA;2;1744
SK0;2021;E_PRIEM_HR_MZDA;3;1522
SK0;2021;E_PRIEM_HR_MZDA;4;1141
SK0;2021;E_PRIEM_HR_MZDA;5;1107
SK0;2021;E_PRIEM_HR_MZDA;6;1043
SK0;2021;E_PRIEM_HR_MZDA;7;1274
SK0;2021;E_PRIEM_HR_MZDA;8;1217
SK0;2021;E_PRIEM_HR_MZDA;9;844
SK0;2021;E_PRIEM_HR_MZDA;0;1943
SK0;2020;E_PRIEM_HR_MZDA;10;1333
SK0;2020;E_PRIEM_HR_MZDA;1;2624
SK0;2020;E_PRIEM_HR_MZDA;2;1665
SK0;2020;E_PRIEM_HR_MZDA;3;1444
SK0;2020;E_PRIEM_HR_MZDA;4;1088
SK0;2020;E_PRIEM_HR_MZDA;5;1054
SK0;2020;E_PRIEM_HR_MZDA;6;985
SK0;2020;E_PRIEM_HR_MZDA;7;1195
SK0;2020;E_PRIEM_HR_MZDA;8;1146
SK0;2020;E_PRIEM_HR_MZDA;9;785
SK0;2020;E_PRIEM_HR_MZDA;0;1916
SK0;2019;E_PRIEM_HR_MZDA;10;1262
SK0;2019;E_PRIEM_HR_MZDA;1;2506
SK0;2019;E_PRIEM_HR_MZDA;2;1551
SK0;2019;E_PRIEM_HR_MZDA;3;1385
SK0;2019;E_PRIEM_HR_MZDA;4;1051
SK0;2019;E_PRIEM_HR_MZDA;5;964
SK0;2019;E_PRIEM_HR_MZDA;6;919
SK0;2019;E_PRIEM_HR_MZDA;7;1166
SK0;2019;E_PRIEM_HR_MZDA;8;1104
SK0;2019;E_PRIEM_HR_MZDA;9;735
SK0;2019;E_PRIEM_HR_MZDA;0;1714
SK0;2018;E_PRIEM_HR_MZDA;10;1175
SK0;2018;E_PRIEM_HR_MZDA;1;2474
SK0;2018;E_PRIEM_HR_MZDA;2;1454
SK0;2018;E_PRIEM_HR_MZDA;3;1283
SK0;2018;E_PRIEM_HR_MZDA;4;976
