Kód kocky;Názov
nu1024rs;"Obyvateľstvo, zamestnanosť - národný koncept"
Posledná aktualizácia;20.10.2025

Kód dimenzie;Kód dimenzie;Data
nu1024rs_rok;nu1024rs_ukaz
Kód Elementu;Kód Elementu;Hodnota
2024;UKAZ01;5458870
2024;UKAZ02;2705384
2024;UKAZ03;145644
2024;UKAZ04;2559740
2024;UKAZ05;2171305
2024;UKAZ06;388435
2023;UKAZ01;5457490
2023;UKAZ02;2698421
2023;UKAZ03;160635
2023;UKAZ04;2537786
2023;UKAZ05;2146744
2023;UKAZ06;391042
2022;UKAZ01;5457173
2022;UKAZ02;2699622
2022;UKAZ03;168623
2022;UKAZ04;2530999
2022;UKAZ05;2147596
2022;UKAZ06;383403
2021;UKAZ01;5440661
2021;UKAZ02;2682191
2021;UKAZ03;185019
2021;UKAZ04;2497172
2021;UKAZ05;2118336
2021;UKAZ06;378836
2020;UKAZ01;5460510
2020;UKAZ02;2712712
2020;UKAZ03;181442
2020;UKAZ04;2531270
2020;UKAZ05;2153087
2020;UKAZ06;378183
2019;UKAZ01;5453244
2019;UKAZ02;2741380
2019;UKAZ03;157744
2019;UKAZ04;2583636
2019;UKAZ05;2194927
2019;UKAZ06;388709
2018;UKAZ01;5446011
2018;UKAZ02;2746235
2018;UKAZ03;179501
2018;UKAZ04;2566734
2018;UKAZ05;2187636
2018;UKAZ06;379098
2017;UKAZ01;5438389
2017;UKAZ02;2754656
2017;UKAZ03;223983
2017;UKAZ04;2530673
2017;UKAZ05;2145143
2017;UKAZ06;385530
2016;UKAZ01;5430804
2016;UKAZ02;2758112
2016;UKAZ03;265994
2016;UKAZ04;2492118
2016;UKAZ05;2107680
2016;UKAZ06;384438
2015;UKAZ01;5422343
2015;UKAZ02;2738234
2015;UKAZ03;314236
2015;UKAZ04;2423998
2015;UKAZ05;2056589
2015;UKAZ06;367409
2014;UKAZ01;5418559
2014;UKAZ02;2721768
2014;UKAZ03;358715
2014;UKAZ04;2363053
2014;UKAZ05;1999274
2014;UKAZ06;363779
2013;UKAZ01;5413003
2013;UKAZ02;2715242
2013;UKAZ03;385995
2013;UKAZ04;2329247
2013;UKAZ05;1967053
2013;UKAZ06;362194
2012;UKAZ01;5406244
2012;UKAZ02;2706446
2012;UKAZ03;377487
2012;UKAZ04;2328959
2012;UKAZ05;1968838
2012;UKAZ06;360121
2011;UKAZ01;5398108
2011;UKAZ02;2679941
2011;UKAZ03;364628
2011;UKAZ04;2315313
2011;UKAZ05;1946805
2011;UKAZ06;368508
2010;UKAZ01;5429973
2010;UKAZ02;2706500
2010;UKAZ03;389000
2010;UKAZ04;2317500
2010;UKAZ05;1947125
2010;UKAZ06;370375
2009;UKAZ01;5417758
2009;UKAZ02;2689975
2009;UKAZ03;324175
2009;UKAZ04;2365800
2009;UKAZ05;1994700
2009;UKAZ06;371100
2008;UKAZ01;5405860
2008;UKAZ02;2691200
2008;UKAZ03;257450
2008;UKAZ04;2433750
2008;UKAZ05;2094150
2008;UKAZ06;339600
2007;UKAZ01;5396568
2007;UKAZ02;2649125
2007;UKAZ03;291850
2007;UKAZ04;2357275
2007;UKAZ05;2043575
2007;UKAZ06;313700
2006;UKAZ01;5390920
2006;UKAZ02;2654775
2006;UKAZ03;353375
2006;UKAZ04;2301400
2006;UKAZ05;2002625
2006;UKAZ06;298775
2005;UKAZ01;5387099
2005;UKAZ02;2643600
2005;UKAZ03;427450
2005;UKAZ04;2216150
2005;UKAZ05;1929075
2005;UKAZ06;287075
2004;UKAZ01;5382364
2004;UKAZ02;2651075
2004;UKAZ03;480725
2004;UKAZ04;2170350
2004;UKAZ05;1904200
2004;UKAZ06;266150
2003;UKAZ01;5379331
2003;UKAZ02;2623725
2003;UKAZ03;459175
2003;UKAZ04;2164550
2003;UKAZ05;1947625
2003;UKAZ06;216925
2002;UKAZ01;5378661
2002;UKAZ02;2613850
2002;UKAZ03;486900
2002;UKAZ04;2126950
2002;UKAZ05;1940925
2002;UKAZ06;186025
2001;UKAZ01;5379528
2001;UKAZ02;2631650
2001;UKAZ03;507975
2001;UKAZ04;2123675
2001;UKAZ05;1943350
2001;UKAZ06;180325
2000;UKAZ01;5400704
2000;UKAZ02;2586900
2000;UKAZ03;485225
2000;UKAZ04;2101675
2000;UKAZ05;1930950
2000;UKAZ06;170725
1999;UKAZ01;5395608
1999;UKAZ02;2548900
1999;UKAZ03;416825
1999;UKAZ04;2132075
1999;UKAZ05;1964950
1999;UKAZ06;167125
1998;UKAZ01;5390838
1998;UKAZ02;2515650
1998;UKAZ03;317100
1998;UKAZ04;2198550
1998;UKAZ05;2046225
1998;UKAZ06;152325
1997;UKAZ01;5383472
1997;UKAZ02;2503325
1997;UKAZ03;297450
1997;UKAZ04;2205875
1997;UKAZ05;2065825
1997;UKAZ06;140050
1996;UKAZ01;5373648
1996;UKAZ02;2509100
1996;UKAZ03;284225
1996;UKAZ04;2224875
1996;UKAZ05;2082475
1996;UKAZ06;142400
1995;UKAZ01;5363357
1995;UKAZ02;2470475
1995;UKAZ03;323700
1995;UKAZ04;2146775
1995;UKAZ05;2006725
1995;UKAZ06;140050
