Kód kocky;Názov
og1007rs;"SZČO"
Posledná aktualizácia;30.01.2026

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
og1007rs_rok;og1007rs_ukaz;og1007rs_form
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2025;UKAZ01;FORM01;384133
2025;UKAZ01;FORM02;2350
2025;UKAZ01;FORM03;146949
2025;UKAZ01;FORM04;397
2025;UKAZ01;FORM05;779
2025;UKAZ01;FORM06;1
2025;UKAZ01;FORM07;392
2025;UKAZ01;FORM08;4747
2025;UKAZ01;FORM09;209445
2025;UKAZ01;FORM12;6529
2025;UKAZ01;FORM13;221989
2025;UKAZ03;FORM01;4485
2025;UKAZ03;FORM02;460
2025;UKAZ03;FORM03;2015
2025;UKAZ03;FORM04;22
2025;UKAZ03;FORM05;73
2025;UKAZ03;FORM06;3
2025;UKAZ03;FORM07;236
2025;UKAZ03;FORM08;1313
2025;UKAZ03;FORM09;29
2025;UKAZ03;FORM12;333
2025;UKAZ03;FORM13;30
2025;UKAZ04;FORM01;849
2025;UKAZ04;FORM02;215
2025;UKAZ04;FORM03;402
2025;UKAZ04;FORM04;3
2025;UKAZ04;FORM05;21
2025;UKAZ04;FORM06;5
2025;UKAZ04;FORM07;51
2025;UKAZ04;FORM08;83
2025;UKAZ04;FORM09;2
2025;UKAZ04;FORM12;67
2025;UKAZ04;FORM13;2
2025;UKAZ07;FORM01;710929
2025;UKAZ07;FORM02;4730
2025;UKAZ07;FORM03;277024
2025;UKAZ07;FORM04;1280
2025;UKAZ07;FORM05;1401
2025;UKAZ07;FORM06;9
2025;UKAZ07;FORM07;700
2025;UKAZ07;FORM08;6182
2025;UKAZ07;FORM09;355677
2025;UKAZ07;FORM12;37552
2025;UKAZ07;FORM13;382051
2024;UKAZ01;FORM01;383001
2024;UKAZ01;FORM02;2416
2024;UKAZ01;FORM03;141733
2024;UKAZ01;FORM04;409
2024;UKAZ01;FORM05;787
2024;UKAZ01;FORM06;1
2024;UKAZ01;FORM07;409
2024;UKAZ01;FORM08;4837
2024;UKAZ01;FORM09;212971
2024;UKAZ01;FORM12;6580
2024;UKAZ01;FORM13;225829
2024;UKAZ03;FORM01;4395
2024;UKAZ03;FORM02;465
2024;UKAZ03;FORM03;2024
2024;UKAZ03;FORM04;19
2024;UKAZ03;FORM05;75
2024;UKAZ03;FORM06;3
2024;UKAZ03;FORM07;230
2024;UKAZ03;FORM08;1239
2024;UKAZ03;FORM09;26
2024;UKAZ03;FORM12;314
2024;UKAZ03;FORM13;26
2024;UKAZ04;FORM01;854
2024;UKAZ04;FORM02;218
2024;UKAZ04;FORM03;400
2024;UKAZ04;FORM04;3
2024;UKAZ04;FORM05;22
2024;UKAZ04;FORM06;5
2024;UKAZ04;FORM07;52
2024;UKAZ04;FORM08;84
2024;UKAZ04;FORM09;2
2024;UKAZ04;FORM12;68
2024;UKAZ04;FORM13;2
2024;UKAZ07;FORM01;724352
2024;UKAZ07;FORM02;5115
2024;UKAZ07;FORM03;268509
2024;UKAZ07;FORM04;1384
2024;UKAZ07;FORM05;1446
2024;UKAZ07;FORM06;9
2024;UKAZ07;FORM07;695
2024;UKAZ07;FORM08;6190
2024;UKAZ07;FORM09;377324
2024;UKAZ07;FORM12;37106
2024;UKAZ07;FORM13;403898
2023;UKAZ01;FORM01;351133
2023;UKAZ01;FORM02;2486
2023;UKAZ01;FORM03;139530
2023;UKAZ01;FORM04;426
2023;UKAZ01;FORM05;815
2023;UKAZ01;FORM06;1
2023;UKAZ01;FORM07;424
2023;UKAZ01;FORM08;4906
2023;UKAZ01;FORM09;184367
2023;UKAZ01;FORM12;6729
2023;UKAZ01;FORM13;195816
2023;UKAZ03;FORM01;4398
2023;UKAZ03;FORM02;480
2023;UKAZ03;FORM03;2060
2023;UKAZ03;FORM04;18
2023;UKAZ03;FORM05;80
2023;UKAZ03;FORM06;4
2023;UKAZ03;FORM07;231
2023;UKAZ03;FORM08;1198
2023;UKAZ03;FORM09;25
2023;UKAZ03;FORM12;301
2023;UKAZ03;FORM13;26
2023;UKAZ04;FORM01;854
2023;UKAZ04;FORM02;219
2023;UKAZ04;FORM03;401
2023;UKAZ04;FORM04;6
2023;UKAZ04;FORM05;21
2023;UKAZ04;FORM06;5
2023;UKAZ04;FORM07;50
2023;UKAZ04;FORM08;80
2023;UKAZ04;FORM09;2
2023;UKAZ04;FORM12;70
2023;UKAZ04;FORM13;2
2023;UKAZ07;FORM01;706489
2023;UKAZ07;FORM02;4825
2023;UKAZ07;FORM03;252468
2023;UKAZ07;FORM04;1282
2023;UKAZ07;FORM05;1358
2023;UKAZ07;FORM06;10
2023;UKAZ07;FORM07;706
2023;UKAZ07;FORM08;6198
2023;UKAZ07;FORM09;376745
2023;UKAZ07;FORM12;36122
2023;UKAZ07;FORM13;403520
2022;UKAZ01;FORM01;355781
2022;UKAZ01;FORM02;2552
2022;UKAZ01;FORM03;133947
2022;UKAZ01;FORM04;396
2022;UKAZ01;FORM05;829
2022;UKAZ01;FORM06;2
2022;UKAZ01;FORM07;435
2022;UKAZ01;FORM08;4917
2022;UKAZ01;FORM09;194446
2022;UKAZ01;FORM12;6569
2022;UKAZ01;FORM13;206134
2022;UKAZ03;FORM01;4411
2022;UKAZ03;FORM02;487
2022;UKAZ03;FORM03;2065
2022;UKAZ03;FORM04;19
2022;UKAZ03;FORM05;79
2022;UKAZ03;FORM06;6
2022;UKAZ03;FORM07;226
2022;UKAZ03;FORM08;1205
2022;UKAZ03;FORM09;28
2022;UKAZ03;FORM12;296
2022;UKAZ03;FORM13;28
2022;UKAZ04;FORM01;846
2022;UKAZ04;FORM02;221
2022;UKAZ04;FORM03;388
2022;UKAZ04;FORM04;6
2022;UKAZ04;FORM05;21
2022;UKAZ04;FORM06;4
2022;UKAZ04;FORM07;51
2022;UKAZ04;FORM08;84
2022;UKAZ04;FORM09;2
2022;UKAZ04;FORM12;69
2022;UKAZ04;FORM13;2
2022;UKAZ07;FORM01;710210
2022;UKAZ07;FORM02;5380
2022;UKAZ07;FORM03;253950
2022;UKAZ07;FORM04;1340
2022;UKAZ07;FORM05;1453
2022;UKAZ07;FORM06;12
2022;UKAZ07;FORM07;719
2022;UKAZ07;FORM08;6221
