Kód kocky;Názov
og2019qs;"Ekonomické subjekty podľa právnych foriem"
Posledná aktualizácia;30.01.2026

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
og2019qs_rok;og2019qs_stv;og2019qs_ukaz
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2025;1.Q.;05frm00;698267
2025;1.Q.;05frm01;309863
2025;1.Q.;05frm02;271570
2025;1.Q.;05frm03;266095
2025;1.Q.;05frm04;4706
2025;1.Q.;05frm05;260181
2025;1.Q.;05frm06;1363
2025;1.Q.;05frm07;9
2025;1.Q.;05frm08;
2025;1.Q.;05frm09;930
2025;1.Q.;05frm11;
2025;1.Q.;05frm12;38293
2025;1.Q.;05frm13;6189
2025;1.Q.;05frm14;694
2025;1.Q.;05frm15;31410
2025;1.Q.;05frm16;388404
2025;1.Q.;05frm17;362854
2025;2.Q.;05frm00;701580
2025;2.Q.;05frm01;316400
2025;2.Q.;05frm02;277331
2025;2.Q.;05frm03;271828
2025;2.Q.;05frm04;4721
2025;2.Q.;05frm05;265867
2025;2.Q.;05frm06;1376
2025;2.Q.;05frm07;9
2025;2.Q.;05frm08;
2025;2.Q.;05frm09;948
2025;2.Q.;05frm11;
2025;2.Q.;05frm12;39069
2025;2.Q.;05frm13;6190
2025;2.Q.;05frm14;702
2025;2.Q.;05frm15;32177
2025;2.Q.;05frm16;385180
2025;2.Q.;05frm17;359402
2025;3.Q.;05frm00;712323
2025;3.Q.;05frm01;322600
2025;3.Q.;05frm02;283011
2025;3.Q.;05frm03;277483
2025;3.Q.;05frm04;4734
2025;3.Q.;05frm05;271486
2025;3.Q.;05frm06;1399
2025;3.Q.;05frm07;9
2025;3.Q.;05frm08;
2025;3.Q.;05frm09;949
2025;3.Q.;05frm11;
2025;3.Q.;05frm12;39589
2025;3.Q.;05frm13;6183
2025;3.Q.;05frm14;700
2025;3.Q.;05frm15;32706
2025;3.Q.;05frm16;389723
2025;3.Q.;05frm17;363397
2025;4.Q.;05frm00;710929
2025;4.Q.;05frm01;328878
