Kód kocky;Názov
og2021qs;"Ekonomické subjekty podľa právnych foriem a ekonomických činností (SK NACE Rev. 2)"
Posledná aktualizácia;30.01.2026

Kód dimenzie;Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
og2021qs_rok;og2021qs_stv;og2021qs_form;og2021qs_nace2
Kód Elementu;Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2025;1.Q.;05frm00;nace1;698267
2025;1.Q.;05frm00;nace2AA;23869
2025;1.Q.;05frm00;nace2BA;442
2025;1.Q.;05frm00;nace2C;82263
2025;1.Q.;05frm00;nace2CA;6155
2025;1.Q.;05frm00;nace2CB;5955
2025;1.Q.;05frm00;nace2CC;14514
2025;1.Q.;05frm00;nace2CD;29
2025;1.Q.;05frm00;nace2CE;594
2025;1.Q.;05frm00;nace2CF;29
2025;1.Q.;05frm00;nace2CG;4141
2025;1.Q.;05frm00;nace2CH;33478
2025;1.Q.;05frm00;nace2CI;2390
2025;1.Q.;05frm00;nace2CJ;1873
2025;1.Q.;05frm00;nace2CK;2037
2025;1.Q.;05frm00;nace2CL;1596
2025;1.Q.;05frm00;nace2CM;9472
2025;1.Q.;05frm00;nace2DA;811
2025;1.Q.;05frm00;nace2EA;2163
2025;1.Q.;05frm00;nace2FA;127442
2025;1.Q.;05frm00;nace2GA;94685
2025;1.Q.;05frm00;nace2HA;26667
2025;1.Q.;05frm00;nace2IA;20088
2025;1.Q.;05frm00;nace2JA;6321
2025;1.Q.;05frm00;nace2JB;280
2025;1.Q.;05frm00;nace2JC;26130
2025;1.Q.;05frm00;nace2KA;11637
2025;1.Q.;05frm00;nace2LA;21356
2025;1.Q.;05frm00;nace2MA;70221
2025;1.Q.;05frm00;nace2MB;1132
2025;1.Q.;05frm00;nace2MC;28406
2025;1.Q.;05frm00;nace2NA;63222
2025;1.Q.;05frm00;nace2OA;3236
2025;1.Q.;05frm00;nace2PA;13910
2025;1.Q.;05frm00;nace2QA;9259
2025;1.Q.;05frm00;nace2QB;2259
2025;1.Q.;05frm00;nace2RA;16329
2025;1.Q.;05frm00;nace2SA;46139
