Kód kocky;Názov
og3803rr;"Podniky podľa ekonomických činností (SK NACE Rev. 2) k 31. 12."
Posledná aktualizácia;30.01.2026

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
nuts14;og3803rr_rok;og3803rr_dim1
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
SK_CAP;2025;SPOLU;
SK_CAP;2025;A;
SK_CAP;2025;B_C_D_E;
SK_CAP;2025;B;
SK_CAP;2025;C;
SK_CAP;2025;D;
SK_CAP;2025;E;
SK_CAP;2025;F;
SK_CAP;2025;G;
SK_CAP;2025;H;
SK_CAP;2025;I;
SK_CAP;2025;J;
SK_CAP;2025;K;
SK_CAP;2025;L;
SK_CAP;2025;M;
SK_CAP;2025;N;
SK_CAP;2025;O;
SK_CAP;2025;P;
SK_CAP;2025;Q;
SK_CAP;2025;R;
SK_CAP;2025;S;
SK_CAP;2024;SPOLU;
SK_CAP;2024;A;
SK_CAP;2024;B_C_D_E;
SK_CAP;2024;B;
SK_CAP;2024;C;
SK_CAP;2024;D;
SK_CAP;2024;E;
SK_CAP;2024;F;
SK_CAP;2024;G;
SK_CAP;2024;H;
SK_CAP;2024;I;
SK_CAP;2024;J;
SK_CAP;2024;K;
SK_CAP;2024;L;
SK_CAP;2024;M;
SK_CAP;2024;N;
SK_CAP;2024;O;
SK_CAP;2024;P;
SK_CAP;2024;Q;
SK_CAP;2024;R;
SK_CAP;2024;S;
SK0;2025;SPOLU;288577
SK0;2025;A;8554
SK0;2025;B_C_D_E;33569
SK0;2025;B;397
SK0;2025;C;31000
SK0;2025;D;530
SK0;2025;E;1642
SK0;2025;F;29981
SK0;2025;G;40013
SK0;2025;H;11580
SK0;2025;I;10797
SK0;2025;J;21060
SK0;2025;K;1469
SK0;2025;L;17442
SK0;2025;M;49702
SK0;2025;N;42481
SK0;2025;O;18
SK0;2025;P;4409
SK0;2025;Q;6971
SK0;2025;R;4444
SK0;2025;S;6087
SK0;2024;SPOLU;280703
SK0;2024;A;8491
SK0;2024;B_C_D_E;33528
SK0;2024;B;359
SK0;2024;C;31028
SK0;2024;D;536
SK0;2024;E;1605
SK0;2024;F;28732
SK0;2024;G;42857
SK0;2024;H;11736
SK0;2024;I;10616
SK0;2024;J;19153
SK0;2024;K;1341
SK0;2024;L;17362
SK0;2024;M;48763
SK0;2024;N;36842
SK0;2024;O;16
SK0;2024;P;4409
SK0;2024;Q;7022
SK0;2024;R;4178
SK0;2024;S;5657
