Kód kocky;Názov
om3707rr;"Vybrané ukazovatele pohybu obyvateľstva – mestá"
Posledná aktualizácia;14.04.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
om3707rr_uzemieua;om3707rr_rok;om3707rr_fermor
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
SK0;2024;FERMOR_SOBAS;24842
SK0;2024;FERMOR_ROZVOD;8397
SK0;2024;FERMOR_ZIVONARDROK;46241
SK0;2024;FERMOR_ZIVONARDMATDO19;3235
SK0;2024;FERMOR_HRMIERZIV;8.53
SK0;2024;FERMOR_PRVEKZIV;28.28
SK0;2024;FERMOR_ZOMRROK;53876
SK0;2024;FERMOR_ZOMRMUZIROK;27873
SK0;2024;FERMOR_ZOMRZENYROK;26003
SK0;2024;FERMOR_HRMIERUMR;9.94
SK0;2024;FERMOR_DOJCUMRTROK;274
SK0;2024;FERMOR_MIERDOJUMR;5.93
SK0;2024;FERMOR_ZOMRDO65;11622
SK0;2024;FERMOR_ZOMRDO65MUZI;8102
SK0;2024;FERMOR_ZOMRDO65ZENY;3520
SK0;2024;FERMOR_ZOMRDO65OBEHDYCH;3899
SK0;2023;FERMOR_SOBAS;26484
SK0;2023;FERMOR_ROZVOD;8205
SK0;2023;FERMOR_ZIVONARDROK;48627
SK0;2023;FERMOR_ZIVONARDMATDO19;3196
SK0;2023;FERMOR_HRMIERZIV;8.96
SK0;2023;FERMOR_PRVEKZIV;28.25
SK0;2023;FERMOR_ZOMRROK;54133
SK0;2023;FERMOR_ZOMRMUZIROK;27954
SK0;2023;FERMOR_ZOMRZENYROK;26179
SK0;2023;FERMOR_HRMIERUMR;9.98
SK0;2023;FERMOR_DOJCUMRTROK;270
SK0;2023;FERMOR_MIERDOJUMR;5.55
SK0;2023;FERMOR_ZOMRDO65;12008
SK0;2023;FERMOR_ZOMRDO65MUZI;8341
SK0;2023;FERMOR_ZOMRDO65ZENY;3667
SK0;2023;FERMOR_ZOMRDO65OBEHDYCH;3975
SK0;2022;FERMOR_SOBAS;29172
SK0;2022;FERMOR_ROZVOD;8180
SK0;2022;FERMOR_ZIVONARDROK;52668
SK0;2022;FERMOR_ZIVONARDMATDO19;3213
SK0;2022;FERMOR_HRMIERZIV;10
SK0;2022;FERMOR_PRVEKZIV;28.23
SK0;2022;FERMOR_ZOMRROK;59583
SK0;2022;FERMOR_ZOMRMUZIROK;30758
SK0;2022;FERMOR_ZOMRZENYROK;28825
SK0;2022;FERMOR_HRMIERUMR;11
SK0;2022;FERMOR_DOJCUMRTROK;285
SK0;2022;FERMOR_MIERDOJUMR;5.41
SK0;2022;FERMOR_ZOMRDO65;13215
SK0;2022;FERMOR_ZOMRDO65MUZI;9263
SK0;2022;FERMOR_ZOMRDO65ZENY;3952
SK0;2022;FERMOR_ZOMRDO65OBEHDYCH;4453
SK0;2021;FERMOR_SOBAS;26350
SK0;2021;FERMOR_ROZVOD;8131
SK0;2021;FERMOR_ZIVONARDROK;56565
SK0;2021;FERMOR_ZIVONARDMATDO19;3353
SK0;2021;FERMOR_HRMIERZIV;10.4
SK0;2021;FERMOR_PRVEKZIV;28.26
SK0;2021;FERMOR_ZOMRROK;73461
SK0;2021;FERMOR_ZOMRMUZIROK;37898
SK0;2021;FERMOR_ZOMRZENYROK;35563
SK0;2021;FERMOR_HRMIERUMR;13.5
SK0;2021;FERMOR_DOJCUMRTROK;278
SK0;2021;FERMOR_MIERDOJUMR;4.9
SK0;2021;FERMOR_ZOMRDO65;16779
SK0;2021;FERMOR_ZOMRDO65MUZI;11578
SK0;2021;FERMOR_ZOMRDO65ZENY;5201
SK0;2021;FERMOR_ZOMRDO65OBEHDYCH;5302
SK0;2020;FERMOR_SOBAS;23753
SK0;2020;FERMOR_ROZVOD;8295
SK0;2020;FERMOR_ZIVONARDROK;56650
SK0;2020;FERMOR_ZIVONARDMATDO19;3343
SK0;2020;FERMOR_HRMIERZIV;10.4
SK0;2020;FERMOR_PRVEKZIV;28.16
SK0;2020;FERMOR_ZOMRROK;59089
SK0;2020;FERMOR_ZOMRMUZIROK;30428
SK0;2020;FERMOR_ZOMRZENYROK;28661
SK0;2020;FERMOR_HRMIERUMR;10.8
SK0;2020;FERMOR_DOJCUMRTROK;288
SK0;2020;FERMOR_MIERDOJUMR;5.1
SK0;2020;FERMOR_ZOMRDO65;13354
SK0;2020;FERMOR_ZOMRDO65MUZI;9242
SK0;2020;FERMOR_ZOMRDO65ZENY;4112
SK0;2020;FERMOR_ZOMRDO65OBEHDYCH;4447
SK0;2019;FERMOR_SOBAS;29664
SK0;2019;FERMOR_ROZVOD;9466
SK0;2019;FERMOR_ZIVONARDROK;57054
SK0;2019;FERMOR_ZIVONARDMATDO19;3490
SK0;2019;FERMOR_HRMIERZIV;10.5
SK0;2019;FERMOR_PRVEKZIV;28.09
SK0;2019;FERMOR_ZOMRROK;53234
SK0;2019;FERMOR_ZOMRMUZIROK;27405
SK0;2019;FERMOR_ZOMRZENYROK;25829
SK0;2019;FERMOR_HRMIERUMR;9.8
SK0;2019;FERMOR_DOJCUMRTROK;292
SK0;2019;FERMOR_MIERDOJUMR;5.1
SK0;2019;FERMOR_ZOMRDO65;13143
SK0;2019;FERMOR_ZOMRDO65MUZI;9111
SK0;2019;FERMOR_ZOMRDO65ZENY;4032
SK0;2019;FERMOR_ZOMRDO65OBEHDYCH;4025
SK0;2018;FERMOR_SOBAS;31177
SK0;2018;FERMOR_ROZVOD;9560
SK0;2018;FERMOR_ZIVONARDROK;57639
SK0;2018;FERMOR_ZIVONARDMATDO19;3469
SK0;2018;FERMOR_HRMIERZIV;10.6
SK0;2018;FERMOR_PRVEKZIV;27.98
SK0;2018;FERMOR_ZOMRROK;54293
SK0;2018;FERMOR_ZOMRMUZIROK;27777
SK0;2018;FERMOR_ZOMRZENYROK;26516
SK0;2018;FERMOR_HRMIERUMR;10
SK0;2018;FERMOR_DOJCUMRTROK;288
SK0;2018;FERMOR_MIERDOJUMR;5
SK0;2018;FERMOR_ZOMRDO65;13620
SK0;2018;FERMOR_ZOMRDO65MUZI;9459
SK0;2018;FERMOR_ZOMRDO65ZENY;4161
SK0;2018;FERMOR_ZOMRDO65OBEHDYCH;4116
SK0;2017;FERMOR_SOBAS;31309
SK0;2017;FERMOR_ROZVOD;9618
SK0;2017;FERMOR_ZIVONARDROK;57969
SK0;2017;FERMOR_ZIVONARDMATDO19;3598
SK0;2017;FERMOR_HRMIERZIV;10.7
SK0;2017;FERMOR_PRVEKZIV;27.84
SK0;2017;FERMOR_ZOMRROK;53914
SK0;2017;FERMOR_ZOMRMUZIROK;27489
SK0;2017;FERMOR_ZOMRZENYROK;26425
SK0;2017;FERMOR_HRMIERUMR;9.9
SK0;2017;FERMOR_DOJCUMRTROK;263
SK0;2017;FERMOR_MIERDOJUMR;4.5
SK0;2017;FERMOR_ZOMRDO65;13681
SK0;2017;FERMOR_ZOMRDO65MUZI;9481
SK0;2017;FERMOR_ZOMRDO65ZENY;4200
SK0;2017;FERMOR_ZOMRDO65OBEHDYCH;4368
SK0;2016;FERMOR_SOBAS;29897
SK0;2016;FERMOR_ROZVOD;9286
SK0;2016;FERMOR_ZIVONARDROK;57557
SK0;2016;FERMOR_ZIVONARDMATDO19;3640
SK0;2016;FERMOR_HRMIERZIV;10.6
SK0;2016;FERMOR_PRVEKZIV;27.78
SK0;2016;FERMOR_ZOMRROK;52351
SK0;2016;FERMOR_ZOMRMUZIROK;26764
SK0;2016;FERMOR_ZOMRZENYROK;25587
SK0;2016;FERMOR_HRMIERUMR;9.6
SK0;2016;FERMOR_DOJCUMRTROK;311
SK0;2016;FERMOR_MIERDOJUMR;5.4
SK0;2016;FERMOR_ZOMRDO65;13639
SK0;2016;FERMOR_ZOMRDO65MUZI;9475
SK0;2016;FERMOR_ZOMRDO65ZENY;4164
SK0;2016;FERMOR_ZOMRDO65OBEHDYCH;4267
SK0;2015;FERMOR_SOBAS;28775
SK0;2015;FERMOR_ROZVOD;9786
SK0;2015;FERMOR_ZIVONARDROK;55602
SK0;2015;FERMOR_ZIVONARDMATDO19;3464
SK0;2015;FERMOR_HRMIERZIV;10.3
SK0;2015;FERMOR_PRVEKZIV;27.73
SK0;2015;FERMOR_ZOMRROK;53826
SK0;2015;FERMOR_ZOMRMUZIROK;27462
SK0;2015;FERMOR_ZOMRZENYROK;26364
SK0;2015;FERMOR_HRMIERUMR;9.9
SK0;2015;FERMOR_DOJCUMRTROK;285
SK0;2015;FERMOR_MIERDOJUMR;5.1
SK0;2015;FERMOR_ZOMRDO65;14582
SK0;2015;FERMOR_ZOMRDO65MUZI;10169
SK0;2015;FERMOR_ZOMRDO65ZENY;4413
SK0;2015;FERMOR_ZOMRDO65OBEHDYCH;4586
SK0;2014;FERMOR_SOBAS;26737
SK0;2014;FERMOR_ROZVOD;10514
SK0;2014;FERMOR_ZIVONARDROK;55033
SK0;2014;FERMOR_ZIVONARDMATDO19;3470
SK0;2014;FERMOR_HRMIERZIV;10.2
SK0;2014;FERMOR_PRVEKZIV;27.61
SK0;2014;FERMOR_ZOMRROK;51346
SK0;2014;FERMOR_ZOMRMUZIROK;26499
SK0;2014;FERMOR_ZOMRZENYROK;24847
SK0;2014;FERMOR_HRMIERUMR;9.5
SK0;2014;FERMOR_DOJCUMRTROK;318
SK0;2014;FERMOR_MIERDOJUMR;5.8
SK0;2014;FERMOR_ZOMRDO65;14157
SK0;2014;FERMOR_ZOMRDO65MUZI;9899
SK0;2014;FERMOR_ZOMRDO65ZENY;4258
SK0;2014;FERMOR_ZOMRDO65OBEHDYCH;4193
SK0;2013;FERMOR_SOBAS;25491
SK0;2013;FERMOR_ROZVOD;10946
SK0;2013;FERMOR_ZIVONARDROK;54823
SK0;2013;FERMOR_ZIVONARDMATDO19;3363
SK0;2013;FERMOR_HRMIERZIV;10.1
SK0;2013;FERMOR_PRVEKZIV;27.43
SK0;2013;FERMOR_ZOMRROK;52089
SK0;2013;FERMOR_ZOMRMUZIROK;26866
SK0;2013;FERMOR_ZOMRZENYROK;25223
SK0;2013;FERMOR_HRMIERUMR;9.6
SK0;2013;FERMOR_DOJCUMRTROK;301
SK0;2013;FERMOR_MIERDOJUMR;5.5
SK0;2013;FERMOR_ZOMRDO65;14415
SK0;2013;FERMOR_ZOMRDO65MUZI;10071
SK0;2013;FERMOR_ZOMRDO65ZENY;4344
SK0;2013;FERMOR_ZOMRDO65OBEHDYCH;4525
SK0;2012;FERMOR_SOBAS;26006
SK0;2012;FERMOR_ROZVOD;10948
SK0;2012;FERMOR_ZIVONARDROK;55535
SK0;2012;FERMOR_ZIVONARDMATDO19;3465
SK0;2012;FERMOR_HRMIERZIV;10.3
SK0;2012;FERMOR_PRVEKZIV;27.29
SK0;2012;FERMOR_ZOMRROK;52437
SK0;2012;FERMOR_ZOMRMUZIROK;26884
SK0;2012;FERMOR_ZOMRZENYROK;25553
SK0;2012;FERMOR_HRMIERUMR;9.7
SK0;2012;FERMOR_DOJCUMRTROK;321
SK0;2012;FERMOR_MIERDOJUMR;5.8
SK0;2012;FERMOR_ZOMRDO65;14701
SK0;2012;FERMOR_ZOMRDO65MUZI;10310
SK0;2012;FERMOR_ZOMRDO65ZENY;4391
SK0;2012;FERMOR_ZOMRDO65OBEHDYCH;4359
SK0;2011;FERMOR_SOBAS;25621
SK0;2011;FERMOR_ROZVOD;11102
SK0;2011;FERMOR_ZIVONARDROK;60813
SK0;2011;FERMOR_ZIVONARDMATDO19;3694
SK0;2011;FERMOR_HRMIERZIV;11.3
SK0;2011;FERMOR_PRVEKZIV;27.78
SK0;2011;FERMOR_ZOMRROK;51903
SK0;2011;FERMOR_ZOMRMUZIROK;26797
SK0;2011;FERMOR_ZOMRZENYROK;25106
SK0;2011;FERMOR_HRMIERUMR;9.6
SK0;2011;FERMOR_DOJCUMRTROK;300
SK0;2011;FERMOR_MIERDOJUMR;4.9
SK0;2011;FERMOR_ZOMRDO65;14906
SK0;2011;FERMOR_ZOMRDO65MUZI;10541
SK0;2011;FERMOR_ZOMRDO65ZENY;4365
SK0;2011;FERMOR_ZOMRDO65OBEHDYCH;4497
SK0;2010;FERMOR_SOBAS;25415
SK0;2010;FERMOR_ROZVOD;12015
SK0;2010;FERMOR_ZIVONARDROK;60410
SK0;2010;FERMOR_ZIVONARDMATDO19;4062
SK0;2010;FERMOR_HRMIERZIV;11.1
