Kód kocky;Názov
sv3701rr;"Vzdelanie - mestá"
Posledná aktualizácia;01.10.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
sv3701rr_uzemieua;sv3701rr_rok;sv3701rr_poh;sv3701rr_vzdel
Kód Elementu;Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
SK0;2024;TOTAL;VZDEL_0_4;98281
SK0;2024;TOTAL;VZDEL_0_4_INDEX;100.4
SK0;2024;TOTAL;VZDEL_0_4_1000;361
SK0;2024;TOTAL;VZDEL_VS;147180
SK0;2024;TOTAL;VZDEL_VS_INDEX;103.5
SK0;2024;TOTAL;VZDEL_VS_1000;27.1
SK0;2024;SEX_M;VZDEL_0_4;
SK0;2024;SEX_M;VZDEL_0_4_INDEX;
SK0;2024;SEX_M;VZDEL_0_4_1000;
SK0;2024;SEX_M;VZDEL_VS;62955
SK0;2024;SEX_M;VZDEL_VS_INDEX;
SK0;2024;SEX_M;VZDEL_VS_1000;
SK0;2024;SEX_F;VZDEL_0_4;
SK0;2024;SEX_F;VZDEL_0_4_INDEX;
SK0;2024;SEX_F;VZDEL_0_4_1000;
SK0;2024;SEX_F;VZDEL_VS;84225
SK0;2024;SEX_F;VZDEL_VS_INDEX;
SK0;2024;SEX_F;VZDEL_VS_1000;
SK0;2023;TOTAL;VZDEL_0_4;97930
SK0;2023;TOTAL;VZDEL_0_4_INDEX;100.3
SK0;2023;TOTAL;VZDEL_0_4_1000;346.1
SK0;2023;TOTAL;VZDEL_VS;142139
SK0;2023;TOTAL;VZDEL_VS_INDEX;101
SK0;2023;TOTAL;VZDEL_VS_1000;26.2
SK0;2023;SEX_M;VZDEL_0_4;
SK0;2023;SEX_M;VZDEL_0_4_INDEX;
SK0;2023;SEX_M;VZDEL_0_4_1000;
SK0;2023;SEX_M;VZDEL_VS;59518
SK0;2023;SEX_M;VZDEL_VS_INDEX;
SK0;2023;SEX_M;VZDEL_VS_1000;
SK0;2023;SEX_F;VZDEL_0_4;
SK0;2023;SEX_F;VZDEL_0_4_INDEX;
SK0;2023;SEX_F;VZDEL_0_4_1000;
SK0;2023;SEX_F;VZDEL_VS;82621
SK0;2023;SEX_F;VZDEL_VS_INDEX;
SK0;2023;SEX_F;VZDEL_VS_1000;
SK0;2022;TOTAL;VZDEL_0_4;95568
SK0;2022;TOTAL;VZDEL_0_4_INDEX;102.9
SK0;2022;TOTAL;VZDEL_0_4_1000;335.5
SK0;2022;TOTAL;VZDEL_VS;139953
SK0;2022;TOTAL;VZDEL_VS_INDEX;99.5
SK0;2022;TOTAL;VZDEL_VS_1000;25.9
SK0;2022;SEX_M;VZDEL_0_4;
SK0;2022;SEX_M;VZDEL_0_4_INDEX;
SK0;2022;SEX_M;VZDEL_0_4_1000;
SK0;2022;SEX_M;VZDEL_VS;58209
SK0;2022;SEX_M;VZDEL_VS_INDEX;
SK0;2022;SEX_M;VZDEL_VS_1000;
SK0;2022;SEX_F;VZDEL_0_4;
SK0;2022;SEX_F;VZDEL_0_4_INDEX;
SK0;2022;SEX_F;VZDEL_0_4_1000;
SK0;2022;SEX_F;VZDEL_VS;81744
SK0;2022;SEX_F;VZDEL_VS_INDEX;
SK0;2022;SEX_F;VZDEL_VS_1000;
SK0;2021;TOTAL;VZDEL_0_4;95568
SK0;2021;TOTAL;VZDEL_0_4_INDEX;99.3
SK0;2021;TOTAL;VZDEL_0_4_1000;321.3
SK0;2021;TOTAL;VZDEL_VS;139953
SK0;2021;TOTAL;VZDEL_VS_INDEX;101.1
SK0;2021;TOTAL;VZDEL_VS_1000;26
SK0;2021;SEX_M;VZDEL_0_4;
SK0;2021;SEX_M;VZDEL_0_4_INDEX;
SK0;2021;SEX_M;VZDEL_0_4_1000;
SK0;2021;SEX_M;VZDEL_VS;58209
SK0;2021;SEX_M;VZDEL_VS_INDEX;
SK0;2021;SEX_M;VZDEL_VS_1000;
SK0;2021;SEX_F;VZDEL_0_4;
SK0;2021;SEX_F;VZDEL_0_4_INDEX;
SK0;2021;SEX_F;VZDEL_0_4_1000;
SK0;2021;SEX_F;VZDEL_VS;81744
SK0;2021;SEX_F;VZDEL_VS_INDEX;
SK0;2021;SEX_F;VZDEL_VS_1000;
SK0;2020;TOTAL;VZDEL_0_4;95568
SK0;2020;TOTAL;VZDEL_0_4_INDEX;99.6
SK0;2020;TOTAL;VZDEL_0_4_1000;324.4
SK0;2020;TOTAL;VZDEL_VS;139953
SK0;2020;TOTAL;VZDEL_VS_INDEX;101.8
SK0;2020;TOTAL;VZDEL_VS_1000;25.6
SK0;2020;SEX_M;VZDEL_0_4;
SK0;2020;SEX_M;VZDEL_0_4_INDEX;
SK0;2020;SEX_M;VZDEL_0_4_1000;
SK0;2020;SEX_M;VZDEL_VS;58209
SK0;2020;SEX_M;VZDEL_VS_INDEX;
SK0;2020;SEX_M;VZDEL_VS_1000;
SK0;2020;SEX_F;VZDEL_0_4;
SK0;2020;SEX_F;VZDEL_0_4_INDEX;
SK0;2020;SEX_F;VZDEL_0_4_1000;
SK0;2020;SEX_F;VZDEL_VS;81744
SK0;2020;SEX_F;VZDEL_VS_INDEX;
SK0;2020;SEX_F;VZDEL_VS_1000;
SK0;2019;TOTAL;VZDEL_0_4;95940
SK0;2019;TOTAL;VZDEL_0_4_INDEX;103.2
SK0;2019;TOTAL;VZDEL_0_4_1000;327.6
SK0;2019;TOTAL;VZDEL_VS;137544
SK0;2019;TOTAL;VZDEL_VS_INDEX;98.5
SK0;2019;TOTAL;VZDEL_VS_1000;25.2
SK0;2019;SEX_M;VZDEL_0_4;
SK0;2019;SEX_M;VZDEL_0_4_INDEX;
SK0;2019;SEX_M;VZDEL_0_4_1000;
SK0;2019;SEX_M;VZDEL_VS;57003
SK0;2019;SEX_M;VZDEL_VS_INDEX;
SK0;2019;SEX_M;VZDEL_VS_1000;
SK0;2019;SEX_F;VZDEL_0_4;
SK0;2019;SEX_F;VZDEL_0_4_INDEX;
SK0;2019;SEX_F;VZDEL_0_4_1000;
SK0;2019;SEX_F;VZDEL_VS;80541
SK0;2019;SEX_F;VZDEL_VS_INDEX;
SK0;2019;SEX_F;VZDEL_VS_1000;
SK0;2018;TOTAL;VZDEL_0_4;93002
SK0;2018;TOTAL;VZDEL_0_4_INDEX;101
SK0;2018;TOTAL;VZDEL_0_4_1000;321
SK0;2018;TOTAL;VZDEL_VS;139622
SK0;2018;TOTAL;VZDEL_VS_INDEX;97.7
SK0;2018;TOTAL;VZDEL_VS_1000;25.6
SK0;2018;SEX_M;VZDEL_0_4;
SK0;2018;SEX_M;VZDEL_0_4_INDEX;
SK0;2018;SEX_M;VZDEL_0_4_1000;
SK0;2018;SEX_M;VZDEL_VS;57348
SK0;2018;SEX_M;VZDEL_VS_INDEX;
SK0;2018;SEX_M;VZDEL_VS_1000;
SK0;2018;SEX_F;VZDEL_0_4;
SK0;2018;SEX_F;VZDEL_0_4_INDEX;
SK0;2018;SEX_F;VZDEL_0_4_1000;
SK0;2018;SEX_F;VZDEL_VS;82274
SK0;2018;SEX_F;VZDEL_VS_INDEX;
SK0;2018;SEX_F;VZDEL_VS_1000;
SK0;2017;TOTAL;VZDEL_0_4;92077
SK0;2017;TOTAL;VZDEL_0_4_INDEX;100.9
SK0;2017;TOTAL;VZDEL_0_4_1000;321.6
SK0;2017;TOTAL;VZDEL_VS;142907
SK0;2017;TOTAL;VZDEL_VS_INDEX;92.6
SK0;2017;TOTAL;VZDEL_VS_1000;26.3
SK0;2017;SEX_M;VZDEL_0_4;
SK0;2017;SEX_M;VZDEL_0_4_INDEX;
SK0;2017;SEX_M;VZDEL_0_4_1000;
SK0;2017;SEX_M;VZDEL_VS;58600
SK0;2017;SEX_M;VZDEL_VS_INDEX;
SK0;2017;SEX_M;VZDEL_VS_1000;
SK0;2017;SEX_F;VZDEL_0_4;
SK0;2017;SEX_F;VZDEL_0_4_INDEX;
SK0;2017;SEX_F;VZDEL_0_4_1000;
SK0;2017;SEX_F;VZDEL_VS;84307
SK0;2017;SEX_F;VZDEL_VS_INDEX;
SK0;2017;SEX_F;VZDEL_VS_1000;
SK0;2016;TOTAL;VZDEL_0_4;91259
SK0;2016;TOTAL;VZDEL_0_4_INDEX;100.6
SK0;2016;TOTAL;VZDEL_0_4_1000;319.7
SK0;2016;TOTAL;VZDEL_VS;154316
SK0;2016;TOTAL;VZDEL_VS_INDEX;93.2
SK0;2016;TOTAL;VZDEL_VS_1000;28.4
SK0;2016;SEX_M;VZDEL_0_4;
SK0;2016;SEX_M;VZDEL_0_4_INDEX;
SK0;2016;SEX_M;VZDEL_0_4_1000;
SK0;2016;SEX_M;VZDEL_VS;62910
SK0;2016;SEX_M;VZDEL_VS_INDEX;
SK0;2016;SEX_M;VZDEL_VS_1000;
SK0;2016;SEX_F;VZDEL_0_4;
SK0;2016;SEX_F;VZDEL_0_4_INDEX;
SK0;2016;SEX_F;VZDEL_0_4_1000;
SK0;2016;SEX_F;VZDEL_VS;91406
SK0;2016;SEX_F;VZDEL_VS_INDEX;
SK0;2016;SEX_F;VZDEL_VS_1000;
SK0;2015;TOTAL;VZDEL_0_4;90692
SK0;2015;TOTAL;VZDEL_0_4_INDEX;102.5
SK0;2015;TOTAL;VZDEL_0_4_1000;316.2
SK0;2015;TOTAL;VZDEL_VS;165529
SK0;2015;TOTAL;VZDEL_VS_INDEX;90.7
SK0;2015;TOTAL;VZDEL_VS_1000;30.5
SK0;2015;SEX_M;VZDEL_0_4;
SK0;2015;SEX_M;VZDEL_0_4_INDEX;
SK0;2015;SEX_M;VZDEL_0_4_1000;
SK0;2015;SEX_M;VZDEL_VS;67519
SK0;2015;SEX_M;VZDEL_VS_INDEX;
SK0;2015;SEX_M;VZDEL_VS_1000;
SK0;2015;SEX_F;VZDEL_0_4;
SK0;2015;SEX_F;VZDEL_0_4_INDEX;
SK0;2015;SEX_F;VZDEL_0_4_1000;
SK0;2015;SEX_F;VZDEL_VS;98010
SK0;2015;SEX_F;VZDEL_VS_INDEX;
SK0;2015;SEX_F;VZDEL_VS_1000;
SK0;2014;TOTAL;VZDEL_0_4;88473
SK0;2014;TOTAL;VZDEL_0_4_INDEX;100.1
SK0;2014;TOTAL;VZDEL_0_4_1000;306.2
SK0;2014;TOTAL;VZDEL_VS;182436
SK0;2014;TOTAL;VZDEL_VS_INDEX;94.6
SK0;2014;TOTAL;VZDEL_VS_1000;33.7
SK0;2014;SEX_M;VZDEL_0_4;
SK0;2014;SEX_M;VZDEL_0_4_INDEX;
SK0;2014;SEX_M;VZDEL_0_4_1000;
SK0;2014;SEX_M;VZDEL_VS;73734
SK0;2014;SEX_M;VZDEL_VS_INDEX;
SK0;2014;SEX_M;VZDEL_VS_1000;
SK0;2014;SEX_F;VZDEL_0_4;
SK0;2014;SEX_F;VZDEL_0_4_INDEX;
SK0;2014;SEX_F;VZDEL_0_4_1000;
SK0;2014;SEX_F;VZDEL_VS;108702
SK0;2014;SEX_F;VZDEL_VS_INDEX;
SK0;2014;SEX_F;VZDEL_VS_1000;
SK0;2013;TOTAL;VZDEL_0_4;88380
SK0;2013;TOTAL;VZDEL_0_4_INDEX;100.6
SK0;2013;TOTAL;VZDEL_0_4_1000;303.5
SK0;2013;TOTAL;VZDEL_VS;196031
SK0;2013;TOTAL;VZDEL_VS_INDEX;94.3
SK0;2013;TOTAL;VZDEL_VS_1000;36.2
SK0;2013;SEX_M;VZDEL_0_4;
SK0;2013;SEX_M;VZDEL_0_4_INDEX;
SK0;2013;SEX_M;VZDEL_0_4_1000;
SK0;2013;SEX_M;VZDEL_VS;79180
SK0;2013;SEX_M;VZDEL_VS_INDEX;
SK0;2013;SEX_M;VZDEL_VS_1000;
SK0;2013;SEX_F;VZDEL_0_4;
SK0;2013;SEX_F;VZDEL_0_4_INDEX;
SK0;2013;SEX_F;VZDEL_0_4_1000;
SK0;2013;SEX_F;VZDEL_VS;116851
SK0;2013;SEX_F;VZDEL_VS_INDEX;
SK0;2013;SEX_F;VZDEL_VS_1000;
SK0;2012;TOTAL;VZDEL_0_4;87831
SK0;2012;TOTAL;VZDEL_0_4_INDEX;106.1
SK0;2012;TOTAL;VZDEL_0_4_1000;302.2
SK0;2012;TOTAL;VZDEL_VS;207799
SK0;2012;TOTAL;VZDEL_VS_INDEX;94.7
SK0;2012;TOTAL;VZDEL_VS_1000;38.4
SK0;2012;SEX_M;VZDEL_0_4;
SK0;2012;SEX_M;VZDEL_0_4_INDEX;
SK0;2012;SEX_M;VZDEL_0_4_1000;
SK0;2012;SEX_M;VZDEL_VS;83872
SK0;2012;SEX_M;VZDEL_VS_INDEX;
SK0;2012;SEX_M;VZDEL_VS_1000;
SK0;2012;SEX_F;VZDEL_0_4;
SK0;2012;SEX_F;VZDEL_0_4_INDEX;
SK0;2012;SEX_F;VZDEL_0_4_1000;
SK0;2012;SEX_F;VZDEL_VS;123927
SK0;2012;SEX_F;VZDEL_VS_INDEX;
SK0;2012;SEX_F;VZDEL_VS_1000;
SK0;2011;TOTAL;VZDEL_0_4;82757
SK0;2011;TOTAL;VZDEL_0_4_INDEX;107.2
SK0;2011;TOTAL;VZDEL_0_4_1000;289.1
SK0;2011;TOTAL;VZDEL_VS;219401
SK0;2011;TOTAL;VZDEL_VS_INDEX;97.8
SK0;2011;TOTAL;VZDEL_VS_1000;40.6
SK0;2011;SEX_M;VZDEL_0_4;
SK0;2011;SEX_M;VZDEL_0_4_INDEX;
SK0;2011;SEX_M;VZDEL_0_4_1000;
SK0;2011;SEX_M;VZDEL_VS;88736
SK0;2011;SEX_M;VZDEL_VS_INDEX;
SK0;2011;SEX_M;VZDEL_VS_1000;
SK0;2011;SEX_F;VZDEL_0_4;
SK0;2011;SEX_F;VZDEL_0_4_INDEX;
SK0;2011;SEX_F;VZDEL_0_4_1000;
SK0;2011;SEX_F;VZDEL_VS;130665
SK0;2011;SEX_F;VZDEL_VS_INDEX;
SK0;2011;SEX_F;VZDEL_VS_1000;
SK0;2010;TOTAL;VZDEL_0_4;77180
SK0;2010;TOTAL;VZDEL_0_4_INDEX;99.1
SK0;2010;TOTAL;VZDEL_0_4_1000;272.3
SK0;2010;TOTAL;VZDEL_VS;224368
SK0;2010;TOTAL;VZDEL_VS_INDEX;96.6
SK0;2010;TOTAL;VZDEL_VS_1000;41.3
SK0;2010;SEX_M;VZDEL_0_4;
SK0;2010;SEX_M;VZDEL_0_4_INDEX;
SK0;2010;SEX_M;VZDEL_0_4_1000;
SK0;2010;SEX_M;VZDEL_VS;90670
SK0;2010;SEX_M;VZDEL_VS_INDEX;
SK0;2010;SEX_M;VZDEL_VS_1000;
SK0;2010;SEX_F;VZDEL_0_4;
SK0;2010;SEX_F;VZDEL_0_4_INDEX;
SK0;2010;SEX_F;VZDEL_0_4_1000;
SK0;2010;SEX_F;VZDEL_VS;133698
SK0;2010;SEX_F;VZDEL_VS_INDEX;
SK0;2010;SEX_F;VZDEL_VS_1000;
SK_CAP;2024;TOTAL;VZDEL_0_4;9598
SK_CAP;2024;TOTAL;VZDEL_0_4_INDEX;99.5
SK_CAP;2024;TOTAL;VZDEL_0_4_1000;402.5
SK_CAP;2024;TOTAL;VZDEL_VS;54828
SK_CAP;2024;TOTAL;VZDEL_VS_INDEX;103.1
SK_CAP;2024;TOTAL;VZDEL_VS_1000;114.5
SK_CAP;2024;SEX_M;VZDEL_0_4;
SK_CAP;2024;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2024;SEX_M;VZDEL_0_4_1000;
SK_CAP;2024;SEX_M;VZDEL_VS;22603
SK_CAP;2024;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2024;SEX_M;VZDEL_VS_1000;
SK_CAP;2024;SEX_F;VZDEL_0_4;
SK_CAP;2024;SEX_F;VZDEL_0_4_INDEX;
SK_CAP;2024;SEX_F;VZDEL_0_4_1000;
SK_CAP;2024;SEX_F;VZDEL_VS;32225
SK_CAP;2024;SEX_F;VZDEL_VS_INDEX;
SK_CAP;2024;SEX_F;VZDEL_VS_1000;
SK_CAP;2023;TOTAL;VZDEL_0_4;9651
SK_CAP;2023;TOTAL;VZDEL_0_4_INDEX;100.2
SK_CAP;2023;TOTAL;VZDEL_0_4_1000;379.5
SK_CAP;2023;TOTAL;VZDEL_VS;53189
SK_CAP;2023;TOTAL;VZDEL_VS_INDEX;101.3
SK_CAP;2023;TOTAL;VZDEL_VS_1000;111.4
SK_CAP;2023;SEX_M;VZDEL_0_4;
SK_CAP;2023;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2023;SEX_M;VZDEL_0_4_1000;
SK_CAP;2023;SEX_M;VZDEL_VS;21796
SK_CAP;2023;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2023;SEX_M;VZDEL_VS_1000;
SK_CAP;2023;SEX_F;VZDEL_0_4;
SK_CAP;2023;SEX_F;VZDEL_0_4_INDEX;
SK_CAP;2023;SEX_F;VZDEL_0_4_1000;
SK_CAP;2023;SEX_F;VZDEL_VS;31393
SK_CAP;2023;SEX_F;VZDEL_VS_INDEX;
SK_CAP;2023;SEX_F;VZDEL_VS_1000;
SK_CAP;2022;TOTAL;VZDEL_0_4;8978
SK_CAP;2022;TOTAL;VZDEL_0_4_INDEX;105.8
SK_CAP;2022;TOTAL;VZDEL_0_4_1000;358.8
SK_CAP;2022;TOTAL;VZDEL_VS;52505
SK_CAP;2022;TOTAL;VZDEL_VS_INDEX;99
SK_CAP;2022;TOTAL;VZDEL_VS_1000;110.2
SK_CAP;2022;SEX_M;VZDEL_0_4;
SK_CAP;2022;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2022;SEX_M;VZDEL_0_4_1000;
SK_CAP;2022;SEX_M;VZDEL_VS;21363
SK_CAP;2022;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2022;SEX_M;VZDEL_VS_1000;
SK_CAP;2022;SEX_F;VZDEL_0_4;
SK_CAP;2022;SEX_F;VZDEL_0_4_INDEX;
SK_CAP;2022;SEX_F;VZDEL_0_4_1000;
SK_CAP;2022;SEX_F;VZDEL_VS;31034
SK_CAP;2022;SEX_F;VZDEL_VS_INDEX;
SK_CAP;2022;SEX_F;VZDEL_VS_1000;
SK_CAP;2021;TOTAL;VZDEL_0_4;8978
SK_CAP;2021;TOTAL;VZDEL_0_4_INDEX;101.4
SK_CAP;2021;TOTAL;VZDEL_0_4_1000;328.7
SK_CAP;2021;TOTAL;VZDEL_VS;53015
SK_CAP;2021;TOTAL;VZDEL_VS_INDEX;101.2
SK_CAP;2021;TOTAL;VZDEL_VS_1000;111.5
SK_CAP;2021;SEX_M;VZDEL_0_4;
SK_CAP;2021;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2021;SEX_M;VZDEL_0_4_1000;
SK_CAP;2021;SEX_M;VZDEL_VS;21363
SK_CAP;2021;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2021;SEX_M;VZDEL_VS_1000;
SK_CAP;2021;SEX_F;VZDEL_0_4;
SK_CAP;2021;SEX_F;VZDEL_0_4_INDEX;
SK_CAP;2021;SEX_F;VZDEL_0_4_1000;
SK_CAP;2021;SEX_F;VZDEL_VS;31034
SK_CAP;2021;SEX_F;VZDEL_VS_INDEX;
SK_CAP;2021;SEX_F;VZDEL_VS_1000;
SK_CAP;2020;TOTAL;VZDEL_0_4;8978
SK_CAP;2020;TOTAL;VZDEL_0_4_INDEX;99.9
SK_CAP;2020;TOTAL;VZDEL_0_4_1000;320.4
SK_CAP;2020;TOTAL;VZDEL_VS;52397
SK_CAP;2020;TOTAL;VZDEL_VS_INDEX;101.2
SK_CAP;2020;TOTAL;VZDEL_VS_1000;119.3
SK_CAP;2020;SEX_M;VZDEL_0_4;
SK_CAP;2020;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2020;SEX_M;VZDEL_0_4_1000;
SK_CAP;2020;SEX_M;VZDEL_VS;21363
SK_CAP;2020;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2020;SEX_M;VZDEL_VS_1000;
SK_CAP;2020;SEX_F;VZDEL_0_4;
SK_CAP;2020;SEX_F;VZDEL_0_4_INDEX;
SK_CAP;2020;SEX_F;VZDEL_0_4_1000;
SK_CAP;2020;SEX_F;VZDEL_VS;31034
SK_CAP;2020;SEX_F;VZDEL_VS_INDEX;
SK_CAP;2020;SEX_F;VZDEL_VS_1000;
SK_CAP;2019;TOTAL;VZDEL_0_4;8983
SK_CAP;2019;TOTAL;VZDEL_0_4_INDEX;100.3
SK_CAP;2019;TOTAL;VZDEL_0_4_1000;321.5
SK_CAP;2019;TOTAL;VZDEL_VS;51758
SK_CAP;2019;TOTAL;VZDEL_VS_INDEX;97.3
SK_CAP;2019;TOTAL;VZDEL_VS_1000;118.9
SK_CAP;2019;SEX_M;VZDEL_0_4;
SK_CAP;2019;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2019;SEX_M;VZDEL_0_4_1000;
SK_CAP;2019;SEX_M;VZDEL_VS;20886
SK_CAP;2019;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2019;SEX_M;VZDEL_VS_1000;
SK_CAP;2019;SEX_F;VZDEL_0_4;
SK_CAP;2019;SEX_F;VZDEL_0_4_INDEX;
SK_CAP;2019;SEX_F;VZDEL_0_4_1000;
SK_CAP;2019;SEX_F;VZDEL_VS;30872
SK_CAP;2019;SEX_F;VZDEL_VS_INDEX;
SK_CAP;2019;SEX_F;VZDEL_VS_1000;
SK_CAP;2018;TOTAL;VZDEL_0_4;8960
SK_CAP;2018;TOTAL;VZDEL_0_4_INDEX;104.6
SK_CAP;2018;TOTAL;VZDEL_0_4_1000;326.8
SK_CAP;2018;TOTAL;VZDEL_VS;53203
SK_CAP;2018;TOTAL;VZDEL_VS_INDEX;99.1
SK_CAP;2018;TOTAL;VZDEL_VS_1000;123.4
SK_CAP;2018;SEX_M;VZDEL_0_4;
SK_CAP;2018;SEX_M;VZDEL_0_4_INDEX;
SK_CAP;2018;SEX_M;VZDEL_0_4_1000;
SK_CAP;2018;SEX_M;VZDEL_VS;21251
SK_CAP;2018;SEX_M;VZDEL_VS_INDEX;
SK_CAP;2018;SEX_M;VZDEL_VS_1000;
