Kód kocky;Názov
vt0003rs;"Inovácie"
Posledná aktualizácia;30.08.2024

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
vt0003rs_rok;vt0003rs_ukaz;vt0003rs_pod
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2022;UKAZ01;POD01;34.7
2022;UKAZ01;POD02;
2022;UKAZ01;POD03;
2022;UKAZ02;POD01;30.8
2022;UKAZ02;POD02;
2022;UKAZ02;POD03;
2022;UKAZ03;POD01;40.6
2022;UKAZ03;POD02;
2022;UKAZ03;POD03;
2022;UKAZ04;POD01;64.7
2022;UKAZ04;POD02;
2022;UKAZ04;POD03;
2022;UKAZ05;POD01;
2022;UKAZ05;POD02;1.5
2022;UKAZ05;POD03;
2022;UKAZ06;POD01;
2022;UKAZ06;POD02;
2022;UKAZ06;POD03;31.5
2022;UKAZ07;POD01;
2022;UKAZ07;POD02;
2022;UKAZ07;POD03;17.3
2022;UKAZ08;POD01;
2022;UKAZ08;POD02;
2022;UKAZ08;POD03;25
2022;UKAZ09;POD01;
2022;UKAZ09;POD02;
2022;UKAZ09;POD03;
2022;UKAZ10;POD01;
2022;UKAZ10;POD02;
2022;UKAZ10;POD03;
2022;UKAZ11;POD01;
2022;UKAZ11;POD02;
2022;UKAZ11;POD03;3.2
2022;UKAZ12;POD01;
2022;UKAZ12;POD02;
2022;UKAZ12;POD03;14.2
2022;UKAZ13;POD01;
2022;UKAZ13;POD02;
2022;UKAZ13;POD03;8.9
2020;UKAZ01;POD01;36.6
2020;UKAZ01;POD02;
2020;UKAZ01;POD03;
2020;UKAZ02;POD01;31.2
2020;UKAZ02;POD02;
2020;UKAZ02;POD03;
2020;UKAZ03;POD01;47.6
2020;UKAZ03;POD02;
2020;UKAZ03;POD03;
2020;UKAZ04;POD01;65.6
2020;UKAZ04;POD02;
2020;UKAZ04;POD03;
2020;UKAZ05;POD01;
2020;UKAZ05;POD02;1.9
2020;UKAZ05;POD03;
2020;UKAZ06;POD01;
2020;UKAZ06;POD02;
2020;UKAZ06;POD03;25.7
2020;UKAZ07;POD01;
2020;UKAZ07;POD02;
2020;UKAZ07;POD03;13.6
2020;UKAZ08;POD01;
2020;UKAZ08;POD02;
2020;UKAZ08;POD03;40.5
2020;UKAZ09;POD01;
2020;UKAZ09;POD02;
2020;UKAZ09;POD03;
2020;UKAZ10;POD01;
2020;UKAZ10;POD02;
2020;UKAZ10;POD03;
2020;UKAZ11;POD01;
2020;UKAZ11;POD02;
2020;UKAZ11;POD03;
2020;UKAZ12;POD01;
2020;UKAZ12;POD02;
2020;UKAZ12;POD03;10.9
