Kód kocky;Názov
vt1002rs;"Podiel výdavkov na inovácie v priemysle v %"
Posledná aktualizácia;30.08.2024

Kód dimenzie;Kód dimenzie;Data
vt1002rs_rok;vt1002rs_ukaz
Kód Elementu;Kód Elementu;Hodnota
2022;UKAZ01;26.7
2022;UKAZ02;20.4
2022;UKAZ03;27.3
2022;UKAZ04;
2022;UKAZ05;
2022;UKAZ06;3.8
2022;UKAZ07;11.1
2022;UKAZ08;10.6
2020;UKAZ01;20.9
2020;UKAZ02;14.7
2020;UKAZ03;47
2020;UKAZ04;
2020;UKAZ05;
2020;UKAZ06;
2020;UKAZ07;8.2
2020;UKAZ08;9.2
2018;UKAZ01;18.2
2018;UKAZ02;15.4
2018;UKAZ03;49.7
2018;UKAZ04;
2018;UKAZ05;
2018;UKAZ06;
2018;UKAZ07;7.2
2018;UKAZ08;9.6
2016;UKAZ01;19.6
2016;UKAZ02;6.3
2016;UKAZ03;68.3
2016;UKAZ04;3
2016;UKAZ05;
2016;UKAZ06;2.9
2016;UKAZ07;
2016;UKAZ08;
2014;UKAZ01;22.2
2014;UKAZ02;13.5
2014;UKAZ03;38.6
2014;UKAZ04;21.7
2014;UKAZ05;
2014;UKAZ06;3.9
2014;UKAZ07;
2014;UKAZ08;
2012;UKAZ01;10.8
2012;UKAZ02;23.7
2012;UKAZ03;62.1
2012;UKAZ04;2.1
2012;UKAZ05;
2012;UKAZ06;1.2
2012;UKAZ07;
2012;UKAZ08;
2010;UKAZ01;16.4
2010;UKAZ02;7
2010;UKAZ03;73.8
2010;UKAZ04;2.9
2010;UKAZ05;
2010;UKAZ06;
2010;UKAZ07;
2010;UKAZ08;
2008;UKAZ01;10.3
2008;UKAZ02;7.5
2008;UKAZ03;76.7
2008;UKAZ04;5.5
2008;UKAZ05;
2008;UKAZ06;
2008;UKAZ07;
2008;UKAZ08;
2006;UKAZ01;8.1
2006;UKAZ02;3.6
2006;UKAZ03;85.5
2006;UKAZ04;2.8
2006;UKAZ05;
2006;UKAZ06;
2006;UKAZ07;
2006;UKAZ08;
2004;UKAZ01;7.2
2004;UKAZ02;2.5
2004;UKAZ03;89.2
2004;UKAZ04;1.1
2004;UKAZ05;
2004;UKAZ06;
2004;UKAZ07;
2004;UKAZ08;
2003;UKAZ01;7.6
2003;UKAZ02;3.3
2003;UKAZ03;78.4
2003;UKAZ04;4.6
2003;UKAZ05;6.1
2003;UKAZ06;
2003;UKAZ07;
2003;UKAZ08;
2001;UKAZ01;6
2001;UKAZ02;1
2001;UKAZ03;84
2001;UKAZ04;2
2001;UKAZ05;7
2001;UKAZ06;
2001;UKAZ07;
2001;UKAZ08;
