Kód kocky;Názov
vt1003rs;"Intenzita inovácie podľa technologických sektorov v %"
Posledná aktualizácia;30.08.2024

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
vt1003rs_rok;vt1003rs_ukaz;vt1003rs_tech
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2022;UKAZ01;TECH01;1.6
2022;UKAZ01;TECH02;
2022;UKAZ02;TECH01;0.7
2022;UKAZ02;TECH02;
2022;UKAZ03;TECH01;1.5
2022;UKAZ03;TECH02;
2022;UKAZ04;TECH01;1.9
2022;UKAZ04;TECH02;
2022;UKAZ05;TECH01;1.4
2022;UKAZ05;TECH02;
2022;UKAZ06;TECH01;
2022;UKAZ06;TECH02;1.8
2022;UKAZ07;TECH01;
2022;UKAZ07;TECH02;5.9
2020;UKAZ01;TECH01;2.1
2020;UKAZ01;TECH02;
2020;UKAZ02;TECH01;2.6
2020;UKAZ02;TECH02;
2020;UKAZ03;TECH01;2
2020;UKAZ03;TECH02;
2020;UKAZ04;TECH01;2.5
2020;UKAZ04;TECH02;
2020;UKAZ05;TECH01;1.4
2020;UKAZ05;TECH02;
2020;UKAZ06;TECH01;
2020;UKAZ06;TECH02;2
2020;UKAZ07;TECH01;
2020;UKAZ07;TECH02;5.2
2018;UKAZ01;TECH01;2.4
2018;UKAZ01;TECH02;
2018;UKAZ02;TECH01;1
2018;UKAZ02;TECH02;
2018;UKAZ03;TECH01;2.5
2018;UKAZ03;TECH02;
2018;UKAZ04;TECH01;2.6
2018;UKAZ04;TECH02;
2018;UKAZ05;TECH01;2.2
2018;UKAZ05;TECH02;
2018;UKAZ06;TECH01;
2018;UKAZ06;TECH02;2.4
2018;UKAZ07;TECH01;
2018;UKAZ07;TECH02;5.2
2016;UKAZ01;TECH01;1.8
2016;UKAZ01;TECH02;
2016;UKAZ02;TECH01;0.5
2016;UKAZ02;TECH02;
2016;UKAZ03;TECH01;1.8
2016;UKAZ03;TECH02;
2016;UKAZ04;TECH01;2.4
2016;UKAZ04;TECH02;
2016;UKAZ05;TECH01;2.2
2016;UKAZ05;TECH02;
2016;UKAZ06;TECH01;
2016;UKAZ06;TECH02;1.5
2016;UKAZ07;TECH01;
2016;UKAZ07;TECH02;4.4
2014;UKAZ01;TECH01;1.4
2014;UKAZ01;TECH02;
2014;UKAZ02;TECH01;1.4
2014;UKAZ02;TECH02;
2014;UKAZ03;TECH01;1.5
2014;UKAZ03;TECH02;
