Kód kocky;Názov
vt1008rs;"Štruktúra výdavkov na výskum a vývoj (v %)"
Posledná aktualizácia;30.09.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
vt1008rs_rok;vt1008rs_ukaz;vt1008rs_area
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2024;UKAZ01;AREA01;60.04
2024;UKAZ01;AREA02;
2024;UKAZ01;AREA03;
2024;UKAZ01;AREA04;
2024;UKAZ02;AREA01;16.66
2024;UKAZ02;AREA02;
2024;UKAZ02;AREA03;
2024;UKAZ02;AREA04;
2024;UKAZ03;AREA01;23.15
2024;UKAZ03;AREA02;
2024;UKAZ03;AREA03;
2024;UKAZ03;AREA04;
2024;UKAZ04;AREA01;0.14
2024;UKAZ04;AREA02;
2024;UKAZ04;AREA03;
2024;UKAZ04;AREA04;
2024;UKAZ05;AREA01;
2024;UKAZ05;AREA02;43.86
2024;UKAZ05;AREA03;
2024;UKAZ05;AREA04;
2024;UKAZ06;AREA01;
2024;UKAZ06;AREA02;34.29
2024;UKAZ06;AREA03;
2024;UKAZ06;AREA04;
2024;UKAZ07;AREA01;
2024;UKAZ07;AREA02;2.38
2024;UKAZ07;AREA03;
2024;UKAZ07;AREA04;
2024;UKAZ08;AREA01;
2024;UKAZ08;AREA02;19.48
2024;UKAZ08;AREA03;
2024;UKAZ08;AREA04;
2024;UKAZ09;AREA01;
2024;UKAZ09;AREA02;
2024;UKAZ09;AREA03;21.95
2024;UKAZ09;AREA04;
2024;UKAZ10;AREA01;
2024;UKAZ10;AREA02;
2024;UKAZ10;AREA03;57.34
2024;UKAZ10;AREA04;
2024;UKAZ11;AREA01;
2024;UKAZ11;AREA02;
2024;UKAZ11;AREA03;7
2024;UKAZ11;AREA04;
2024;UKAZ12;AREA01;
2024;UKAZ12;AREA02;
2024;UKAZ12;AREA03;3.3
2024;UKAZ12;AREA04;
2024;UKAZ13;AREA01;
2024;UKAZ13;AREA02;
2024;UKAZ13;AREA03;6.06
2024;UKAZ13;AREA04;
2024;UKAZ14;AREA01;
2024;UKAZ14;AREA02;
2024;UKAZ14;AREA03;4.35
2024;UKAZ14;AREA04;
2024;UKAZ15;AREA01;
2024;UKAZ15;AREA02;
2024;UKAZ15;AREA03;
2024;UKAZ15;AREA04;39.43
2024;UKAZ16;AREA01;
2024;UKAZ16;AREA02;
2024;UKAZ16;AREA03;
2024;UKAZ16;AREA04;20.34
2024;UKAZ17;AREA01;
2024;UKAZ17;AREA02;
2024;UKAZ17;AREA03;
2024;UKAZ17;AREA04;40.22
2023;UKAZ01;AREA01;55.76
2023;UKAZ01;AREA02;
2023;UKAZ01;AREA03;
2023;UKAZ01;AREA04;
2023;UKAZ02;AREA01;17.82
2023;UKAZ02;AREA02;
2023;UKAZ02;AREA03;
2023;UKAZ02;AREA04;
2023;UKAZ03;AREA01;26.33
2023;UKAZ03;AREA02;
2023;UKAZ03;AREA03;
2023;UKAZ03;AREA04;
2023;UKAZ04;AREA01;0.09
2023;UKAZ04;AREA02;
2023;UKAZ04;AREA03;
2023;UKAZ04;AREA04;
2023;UKAZ05;AREA01;
2023;UKAZ05;AREA02;41.09
2023;UKAZ05;AREA03;
2023;UKAZ05;AREA04;
2023;UKAZ06;AREA01;
2023;UKAZ06;AREA02;33.92
2023;UKAZ06;AREA03;
2023;UKAZ06;AREA04;
2023;UKAZ07;AREA01;
2023;UKAZ07;AREA02;2.92
2023;UKAZ07;AREA03;
2023;UKAZ07;AREA04;
2023;UKAZ08;AREA01;
2023;UKAZ08;AREA02;22.07
2023;UKAZ08;AREA03;
2023;UKAZ08;AREA04;
2023;UKAZ09;AREA01;
2023;UKAZ09;AREA02;
2023;UKAZ09;AREA03;23.3
2023;UKAZ09;AREA04;
2023;UKAZ10;AREA01;
2023;UKAZ10;AREA02;
2023;UKAZ10;AREA03;55.69
2023;UKAZ10;AREA04;
2023;UKAZ11;AREA01;
2023;UKAZ11;AREA02;
2023;UKAZ11;AREA03;8.88
2023;UKAZ11;AREA04;
2023;UKAZ12;AREA01;
2023;UKAZ12;AREA02;
2023;UKAZ12;AREA03;3.41
2023;UKAZ12;AREA04;
2023;UKAZ13;AREA01;
2023;UKAZ13;AREA02;
2023;UKAZ13;AREA03;4.92
2023;UKAZ13;AREA04;
2023;UKAZ14;AREA01;
2023;UKAZ14;AREA02;
2023;UKAZ14;AREA03;3.8
2023;UKAZ14;AREA04;
2023;UKAZ15;AREA01;
2023;UKAZ15;AREA02;
2023;UKAZ15;AREA03;
2023;UKAZ15;AREA04;38.69
2023;UKAZ16;AREA01;
2023;UKAZ16;AREA02;
2023;UKAZ16;AREA03;
2023;UKAZ16;AREA04;23.81
2023;UKAZ17;AREA01;
2023;UKAZ17;AREA02;
2023;UKAZ17;AREA03;
2023;UKAZ17;AREA04;37.5
2022;UKAZ01;AREA01;57.21
2022;UKAZ01;AREA02;
2022;UKAZ01;AREA03;
2022;UKAZ01;AREA04;
2022;UKAZ02;AREA01;17.17
2022;UKAZ02;AREA02;
2022;UKAZ02;AREA03;
2022;UKAZ02;AREA04;
2022;UKAZ03;AREA01;25.58
2022;UKAZ03;AREA02;
2022;UKAZ03;AREA03;
2022;UKAZ03;AREA04;
2022;UKAZ04;AREA01;0.04
2022;UKAZ04;AREA02;
2022;UKAZ04;AREA03;
2022;UKAZ04;AREA04;
2022;UKAZ05;AREA01;
2022;UKAZ05;AREA02;47.14
2022;UKAZ05;AREA03;
2022;UKAZ05;AREA04;
2022;UKAZ06;AREA01;
2022;UKAZ06;AREA02;33.58
2022;UKAZ06;AREA03;
2022;UKAZ06;AREA04;
2022;UKAZ07;AREA01;
2022;UKAZ07;AREA02;2.45
2022;UKAZ07;AREA03;
2022;UKAZ07;AREA04;
2022;UKAZ08;AREA01;
2022;UKAZ08;AREA02;16.82
2022;UKAZ08;AREA03;
2022;UKAZ08;AREA04;
2022;UKAZ09;AREA01;
2022;UKAZ09;AREA02;
2022;UKAZ09;AREA03;22.85
2022;UKAZ09;AREA04;
2022;UKAZ10;AREA01;
2022;UKAZ10;AREA02;
2022;UKAZ10;AREA03;56.77
2022;UKAZ10;AREA04;
2022;UKAZ11;AREA01;
2022;UKAZ11;AREA02;
2022;UKAZ11;AREA03;7.49
2022;UKAZ11;AREA04;
2022;UKAZ12;AREA01;
2022;UKAZ12;AREA02;
2022;UKAZ12;AREA03;3.48
2022;UKAZ12;AREA04;
2022;UKAZ13;AREA01;
