Kód kocky;Názov
vt1009rs;"Štruktúra zamestnancov výskumu a vývoja (v %)"
Posledná aktualizácia;30.09.2025

Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
vt1009rs_rok;vt1009rs_ukaz;vt1009rs_area
Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2024;UKAZ01;AREA01;78.61
2024;UKAZ01;AREA02;
2024;UKAZ02;AREA01;14.31
2024;UKAZ02;AREA02;
2024;UKAZ03;AREA01;7.08
2024;UKAZ03;AREA02;
2024;UKAZ04;AREA01;
2024;UKAZ04;AREA02;88.1
2024;UKAZ05;AREA01;
2024;UKAZ05;AREA02;3.74
2024;UKAZ06;AREA01;
2024;UKAZ06;AREA02;44.65
2024;UKAZ07;AREA01;
2024;UKAZ07;AREA02;39.7
2024;UKAZ08;AREA01;
2024;UKAZ08;AREA02;1.63
2024;UKAZ09;AREA01;
2024;UKAZ09;AREA02;9.98
2024;UKAZ10;AREA01;
2024;UKAZ10;AREA02;0.29
2023;UKAZ01;AREA01;79.59
2023;UKAZ01;AREA02;
2023;UKAZ02;AREA01;14.33
2023;UKAZ02;AREA02;
2023;UKAZ03;AREA01;6.09
2023;UKAZ03;AREA02;
2023;UKAZ04;AREA01;
2023;UKAZ04;AREA02;88.57
2023;UKAZ05;AREA01;
2023;UKAZ05;AREA02;3.93
2023;UKAZ06;AREA01;
2023;UKAZ06;AREA02;43.6
2023;UKAZ07;AREA01;
2023;UKAZ07;AREA02;41.04
2023;UKAZ08;AREA01;
2023;UKAZ08;AREA02;1.45
2023;UKAZ09;AREA01;
2023;UKAZ09;AREA02;9.28
2023;UKAZ10;AREA01;
2023;UKAZ10;AREA02;0.71
2022;UKAZ01;AREA01;79.66
2022;UKAZ01;AREA02;
2022;UKAZ02;AREA01;14.59
2022;UKAZ02;AREA02;
2022;UKAZ03;AREA01;5.75
2022;UKAZ03;AREA02;
2022;UKAZ04;AREA01;
2022;UKAZ04;AREA02;88.52
2022;UKAZ05;AREA01;
2022;UKAZ05;AREA02;2.18
2022;UKAZ06;AREA01;
2022;UKAZ06;AREA02;44
2022;UKAZ07;AREA01;
2022;UKAZ07;AREA02;42.34
2022;UKAZ08;AREA01;
