Kód kocky;Názov
vt1011rs;"Počet podnikov s inovačnou aktivitou v priemysle a vybraných službách"
Posledná aktualizácia;30.08.2024

Kód dimenzie;Kód dimenzie;Kód dimenzie;Kód dimenzie;Data
vt1011rs_rok;vt1011rs_ukaz;vt1011rs_velk;vt1011rs_tech
Kód Elementu;Kód Elementu;Kód Elementu;Kód Elementu;Hodnota
2022;UKAZ01;VELK01;TECH01;2879
2022;UKAZ01;VELK01;TECH02;1614
2022;UKAZ01;VELK01;TECH03;1265
2022;UKAZ01;VELK02;TECH01;1885
2022;UKAZ01;VELK02;TECH02;939
2022;UKAZ01;VELK02;TECH03;946
2022;UKAZ01;VELK03;TECH01;688
2022;UKAZ01;VELK03;TECH02;456
2022;UKAZ01;VELK03;TECH03;232
2022;UKAZ01;VELK04;TECH01;306
2022;UKAZ01;VELK04;TECH02;219
2022;UKAZ01;VELK04;TECH03;87
2022;UKAZ02;VELK01;TECH01;
2022;UKAZ02;VELK01;TECH02;
2022;UKAZ02;VELK01;TECH03;
2022;UKAZ02;VELK02;TECH01;
2022;UKAZ02;VELK02;TECH02;
2022;UKAZ02;VELK02;TECH03;
2022;UKAZ02;VELK03;TECH01;
2022;UKAZ02;VELK03;TECH02;
2022;UKAZ02;VELK03;TECH03;
2022;UKAZ02;VELK04;TECH01;
2022;UKAZ02;VELK04;TECH02;
2022;UKAZ02;VELK04;TECH03;
2022;UKAZ03;VELK01;TECH01;
2022;UKAZ03;VELK01;TECH02;
2022;UKAZ03;VELK01;TECH03;
2022;UKAZ03;VELK02;TECH01;
2022;UKAZ03;VELK02;TECH02;
2022;UKAZ03;VELK02;TECH03;
2022;UKAZ03;VELK03;TECH01;
2022;UKAZ03;VELK03;TECH02;
2022;UKAZ03;VELK03;TECH03;
2022;UKAZ03;VELK04;TECH01;
2022;UKAZ03;VELK04;TECH02;
2022;UKAZ03;VELK04;TECH03;
2022;UKAZ04;VELK01;TECH01;432
2022;UKAZ04;VELK01;TECH02;272
2022;UKAZ04;VELK01;TECH03;160
2022;UKAZ04;VELK02;TECH01;276
2022;UKAZ04;VELK02;TECH02;161
2022;UKAZ04;VELK02;TECH03;115
2022;UKAZ04;VELK03;TECH01;114
2022;UKAZ04;VELK03;TECH02;80
2022;UKAZ04;VELK03;TECH03;33
2022;UKAZ04;VELK04;TECH01;42
2022;UKAZ04;VELK04;TECH02;30
2022;UKAZ04;VELK04;TECH03;12
2022;UKAZ05;VELK01;TECH01;1163
2022;UKAZ05;VELK01;TECH02;543
2022;UKAZ05;VELK01;TECH03;620
2022;UKAZ05;VELK02;TECH01;844
2022;UKAZ05;VELK02;TECH02;340
2022;UKAZ05;VELK02;TECH03;504
2022;UKAZ05;VELK03;TECH01;242
2022;UKAZ05;VELK03;TECH02;146
2022;UKAZ05;VELK03;TECH03;96
2022;UKAZ05;VELK04;TECH01;78
2022;UKAZ05;VELK04;TECH02;57
2022;UKAZ05;VELK04;TECH03;20
2022;UKAZ06;VELK01;TECH01;961
2022;UKAZ06;VELK01;TECH02;568
2022;UKAZ06;VELK01;TECH03;393
2022;UKAZ06;VELK02;TECH01;573
2022;UKAZ06;VELK02;TECH02;321
2022;UKAZ06;VELK02;TECH03;252
2022;UKAZ06;VELK03;TECH01;232
